N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,N/A,-0.03,N/A,0.01,0.11,0.13,-0.02,N/A,N/A,0.14,0.09,-0.01,-0.02,0.09,0.15,0.15,0.14,-0.04,N/A,0.12,-0.08,0.04,0.06,N/A,N/A,N/A,N/A,N/A,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.03,N/A,1,N/A,-0.00,0.08,0.10,0.04,N/A,N/A,0.27,-0.01,0.03,0.12,-0.01,0.05,-0.01,0.07,0.15,N/A,0.06,0.07,0.06,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.01,N/A,-0.00,N/A,1,0.03,0.05,-0.00,N/A,N/A,0.08,0.01,0.01,-0.01,0.01,-0.01,0.06,0.01,0.01,N/A,-0.01,0.02,0.01,0.01,N/A,N/A,N/A,N/A,N/A,N/A,-0.02
N/A,0.11,N/A,0.08,N/A,0.03,1,0.17,0.04,N/A,N/A,0.41,0.01,-0.02,0.06,-0.01,0.08,0.08,0.17,0.09,N/A,0.21,-0.02,0.15,0.08,N/A,N/A,N/A,N/A,N/A,N/A,0.17
N/A,0.13,N/A,0.10,N/A,0.05,0.17,1,0.01,N/A,N/A,0.35,0.05,-0.01,0.16,0.08,0.06,0.01,0.27,0.19,N/A,0.02,0.08,0.17,0.05,N/A,N/A,N/A,N/A,N/A,N/A,0.19
N/A,-0.02,N/A,0.04,N/A,-0.00,0.04,0.01,1,N/A,N/A,0.12,0.03,0.10,-0.01,0.10,0.01,0.24,0.09,-0.06,N/A,-0.02,0.03,0.04,-0.05,N/A,N/A,N/A,N/A,N/A,N/A,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.14,N/A,0.27,N/A,0.08,0.41,0.35,0.12,N/A,N/A,1,0.09,0.10,0.13,0.05,0.27,0.17,0.39,0.22,N/A,0.29,0.11,0.30,0.04,N/A,N/A,N/A,N/A,N/A,N/A,0.35
N/A,0.09,N/A,-0.01,N/A,0.01,0.01,0.05,0.03,N/A,N/A,0.09,1,0.07,0.04,-0.04,0.08,-0.02,-0.03,0.03,N/A,0.00,0.06,0.03,0.00,N/A,N/A,N/A,N/A,N/A,N/A,-0.01
N/A,-0.01,N/A,0.03,N/A,0.01,-0.02,-0.01,0.10,N/A,N/A,0.10,0.07,1,-0.00,-0.01,0.07,0.01,-0.04,-0.04,N/A,0.12,0.05,-0.00,-0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.04
N/A,-0.02,N/A,0.12,N/A,-0.01,0.06,0.16,-0.01,N/A,N/A,0.13,0.04,-0.00,1,0.08,-0.00,-0.00,0.07,0.07,N/A,-0.03,0.08,0.07,0.01,N/A,N/A,N/A,N/A,N/A,N/A,0.04
N/A,0.09,N/A,-0.01,N/A,0.01,-0.01,0.08,0.10,N/A,N/A,0.05,-0.04,-0.01,0.08,1,0.02,0.03,0.01,-0.01,N/A,-0.13,0.10,0.01,-0.01,N/A,N/A,N/A,N/A,N/A,N/A,0.09
N/A,0.15,N/A,0.05,N/A,-0.01,0.08,0.06,0.01,N/A,N/A,0.27,0.08,0.07,-0.00,0.02,1,-0.02,0.15,0.07,N/A,0.08,0.01,0.16,0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.01
N/A,0.15,N/A,-0.01,N/A,0.06,0.08,0.01,0.24,N/A,N/A,0.17,-0.02,0.01,-0.00,0.03,-0.02,1,0.08,0.07,N/A,0.12,-0.01,-0.01,0.01,N/A,N/A,N/A,N/A,N/A,N/A,0.04
N/A,0.14,N/A,0.07,N/A,0.01,0.17,0.27,0.09,N/A,N/A,0.39,-0.03,-0.04,0.07,0.01,0.15,0.08,1,0.05,N/A,0.05,-0.09,0.21,0.02,N/A,N/A,N/A,N/A,N/A,N/A,0.24
