1,0.21,0.17,0.15,0.16,0.32,N/A,N/A,0.32,0.22,0.22,0.32,0.10,0.16,0.36,0.24,0.34,0.69,0.64,0.16,0.08,0.31,0.36,N/A,0.01,0.07,0.01,0.01
0.21,1,0.14,0.11,0.12,0.13,N/A,N/A,0.19,0.15,0.17,0.12,0.07,0.26,0.28,0.09,0.26,0.29,0.29,0.18,0.04,0.12,0.33,N/A,-0.00,0.16,-0.00,0.05
0.17,0.14,1,0.19,0.32,0.04,N/A,N/A,0.80,0.29,0.24,0.06,0.02,0.06,0.32,0.05,0.57,0.26,0.27,0.19,0.02,0.06,0.27,N/A,0.04,0.10,0.04,0.07
0.15,0.11,0.19,1,0.15,0.25,N/A,N/A,0.30,0.22,0.19,0.08,0.09,0.10,0.51,0.13,0.31,0.33,0.31,0.20,0.12,0.19,0.32,N/A,0.10,0.02,0.10,0.04
0.16,0.12,0.32,0.15,1,0.06,N/A,N/A,0.28,0.75,0.15,0.08,0.05,0.11,0.23,0.05,0.23,0.22,0.21,0.13,-0.02,0.04,0.20,N/A,0.00,0.02,0.00,0.06
0.32,0.13,0.04,0.25,0.06,1,N/A,N/A,0.64,0.10,0.07,0.15,-0.00,0.24,0.24,0.14,0.18,0.33,0.29,0.08,-0.02,0.22,0.21,N/A,0.15,-0.00,0.15,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.32,0.19,0.80,0.30,0.28,0.64,N/A,N/A,1,0.28,0.23,0.13,0.02,0.19,0.39,0.13,0.55,0.39,0.39,0.20,0.01,0.18,0.33,N/A,0.12,0.08,0.12,0.08
0.22,0.15,0.29,0.22,0.75,0.10,N/A,N/A,0.28,1,0.22,0.14,0.12,0.10,0.38,0.18,0.36,0.34,0.38,0.21,0.05,0.13,0.39,N/A,-0.01,0.05,-0.01,0.11
0.22,0.17,0.24,0.19,0.15,0.07,N/A,N/A,0.23,0.22,1,0.20,0.09,0.06,0.35,0.26,0.35,0.32,0.40,0.18,0.11,0.08,0.30,N/A,0.05,0.03,0.05,0.11
