1,0.10,0.11,N/A,0.08,0.08,-0.03,N/A,-0.04,N/A,0.03,0.09,0.19,N/A,0.06,0.04
0.10,1,-0.10,N/A,0.21,0.21,0.08,N/A,0.04,N/A,0.07,0.12,0.51,N/A,0.11,0.20
0.11,-0.10,1,N/A,0.01,0.01,0.05,N/A,-0.00,N/A,-0.02,-0.02,-0.04,N/A,-0.01,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.21,0.01,N/A,1,1.00,0.16,N/A,0.02,N/A,0.03,0.05,0.28,N/A,0.05,0.33
0.08,0.21,0.01,N/A,1.00,1,0.16,N/A,0.02,N/A,0.03,0.05,0.28,N/A,0.05,0.33
-0.03,0.08,0.05,N/A,0.16,0.16,1,N/A,0.29,N/A,0.08,0.07,0.07,N/A,0.09,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.04,0.04,-0.00,N/A,0.02,0.02,0.29,N/A,1,N/A,0.01,0.07,0.06,N/A,0.03,-0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.07,-0.02,N/A,0.03,0.03,0.08,N/A,0.01,N/A,1,-0.08,0.09,N/A,0.03,0.10
0.09,0.12,-0.02,N/A,0.05,0.05,0.07,N/A,0.07,N/A,-0.08,1,0.07,N/A,0.02,0.06
0.19,0.51,-0.04,N/A,0.28,0.28,0.07,N/A,0.06,N/A,0.09,0.07,1,N/A,0.12,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.11,-0.01,N/A,0.05,0.05,0.09,N/A,0.03,N/A,0.03,0.02,0.12,N/A,1,-0.02
0.04,0.20,0.00,N/A,0.33,0.33,0.14,N/A,-0.03,N/A,0.10,0.06,0.28,N/A,-0.02,1
