1,0.34,N/A,0.08,0.06,0.21,0.18,0.06,0.13,0.38,0.08,0.06,0.15,0.36,0.08,0.08,0.09,N/A,N/A,0.10,0.11,0.10,0.36,N/A,N/A,N/A,-0.01,0.40,-0.01,0.14,0.02,0.09,0.03
0.34,1,N/A,0.03,0.12,0.08,0.15,0.02,0.16,0.20,0.07,0.09,-0.01,0.29,0.11,0.04,0.02,N/A,N/A,0.09,0.06,0.11,0.27,N/A,N/A,N/A,-0.04,0.38,0.00,0.16,0.05,0.11,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.03,N/A,1,0.05,0.13,0.09,0.01,0.09,0.01,0.13,0.05,0.09,0.17,-0.02,0.10,-0.03,N/A,N/A,0.08,-0.01,0.01,0.01,N/A,N/A,N/A,-0.00,0.02,0.01,0.03,0.08,0.07,0.05
0.06,0.12,N/A,0.05,1,0.11,0.20,0.08,0.14,0.07,0.03,0.07,0.04,0.23,0.13,0.13,0.03,N/A,N/A,0.03,0.15,0.21,0.02,N/A,N/A,N/A,0.09,0.11,-0.01,0.12,0.17,-0.01,0.02
0.21,0.08,N/A,0.13,0.11,1,0.13,0.12,0.17,0.13,0.31,0.10,0.04,0.18,0.05,0.08,0.04,N/A,N/A,0.07,0.19,0.07,0.13,N/A,N/A,N/A,0.10,0.09,-0.00,0.15,0.03,0.10,0.02
0.18,0.15,N/A,0.09,0.20,0.13,1,0.14,0.23,0.15,0.06,0.05,0.08,0.54,0.16,0.08,0.04,N/A,N/A,0.02,0.24,0.18,0.15,N/A,N/A,N/A,0.07,0.18,0.00,0.15,0.06,0.14,0.09
0.06,0.02,N/A,0.01,0.08,0.12,0.14,1,0.06,0.01,0.01,-0.04,0.07,0.03,0.14,0.04,-0.03,N/A,N/A,0.01,0.00,0.07,-0.04,N/A,N/A,N/A,0.11,-0.03,0.12,0.11,0.09,0.03,-0.01
0.13,0.16,N/A,0.09,0.14,0.17,0.23,0.06,1,0.23,0.04,0.04,0.13,0.31,0.08,0.12,0.03,N/A,N/A,0.08,0.18,0.10,0.10,N/A,N/A,N/A,0.04,0.20,0.01,0.08,0.02,0.06,0.04
0.38,0.20,N/A,0.01,0.07,0.13,0.15,0.01,0.23,1,0.02,0.00,0.14,0.30,0.11,0.07,0.04,N/A,N/A,0.03,0.05,0.18,0.38,N/A,N/A,N/A,-0.01,0.25,0.03,0.05,0.05,0.09,0.01
