N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.09,0.20,0.47,0.56,0.29,0.15,0.87,0.10,0.94,0.17,0.20,0.18,0.57,0.56,N/A,0.77,0.06,0.61,0.58,0.36,0.14,0.39
N/A,0.09,1,-0.02,0.08,0.14,0.02,0.07,0.01,0.08,0.11,0.02,0.09,0.14,0.12,0.08,N/A,0.12,0.08,0.11,0.17,0.08,0.03,0.11
N/A,0.20,-0.02,1,0.32,0.27,0.17,0.03,0.07,0.08,0.26,0.19,0.12,0.16,0.75,0.29,N/A,0.25,0.08,0.32,0.33,0.22,0.05,0.22
N/A,0.47,0.08,0.32,1,0.55,0.28,0.14,0.18,0.11,0.58,0.15,0.21,0.25,0.65,0.71,N/A,0.52,0.13,0.77,0.65,0.38,0.35,0.38
N/A,0.56,0.14,0.27,0.55,1,0.35,0.12,0.26,0.16,0.68,0.17,0.25,0.19,0.68,0.65,N/A,0.94,0.12,0.72,0.70,0.37,0.21,0.49
N/A,0.29,0.02,0.17,0.28,0.35,1,0.11,0.15,0.05,0.35,0.14,0.15,0.10,0.34,0.35,N/A,0.36,0.04,0.37,0.35,0.18,0.10,0.24
N/A,0.15,0.07,0.03,0.14,0.12,0.11,1,0.07,0.03,0.17,0.02,0.12,0.03,0.14,0.17,N/A,0.13,-0.01,0.18,0.13,0.07,0.04,0.09
N/A,0.87,0.01,0.07,0.18,0.26,0.15,0.07,1,0.05,0.75,0.07,0.10,0.07,0.25,0.24,N/A,0.56,0.03,0.25,0.23,0.21,0.01,0.15
N/A,0.10,0.08,0.08,0.11,0.16,0.05,0.03,0.05,1,0.12,0.20,0.17,0.09,0.14,0.14,N/A,0.15,0.26,0.14,0.13,0.12,0.05,0.05
N/A,0.94,0.11,0.26,0.58,0.68,0.35,0.17,0.75,0.12,1,0.20,0.23,0.24,0.71,0.70,N/A,0.83,0.08,0.76,0.74,0.43,0.19,0.49
N/A,0.17,0.02,0.19,0.15,0.17,0.14,0.02,0.07,0.20,0.20,1,0.04,0.11,0.26,0.21,N/A,0.17,0.02,0.23,0.23,0.12,0.11,0.16
N/A,0.20,0.09,0.12,0.21,0.25,0.15,0.12,0.10,0.17,0.23,0.04,1,0.14,0.25,0.26,N/A,0.24,0.23,0.26,0.31,0.23,0.14,0.19
N/A,0.18,0.14,0.16,0.25,0.19,0.10,0.03,0.07,0.09,0.24,0.11,0.14,1,0.27,0.22,N/A,0.19,0.00,0.27,0.49,0.20,0.10,0.22
N/A,0.57,0.12,0.75,0.65,0.68,0.34,0.14,0.25,0.14,0.71,0.26,0.25,0.27,1,0.73,N/A,0.65,0.16,0.80,0.78,0.42,0.22,0.52
N/A,0.56,0.08,0.29,0.71,0.65,0.35,0.17,0.24,0.14,0.70,0.21,0.26,0.22,0.73,1,N/A,0.62,0.15,0.91,0.73,0.43,0.25,0.43
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.77,0.12,0.25,0.52,0.94,0.36,0.13,0.56,0.15,0.83,0.17,0.24,0.19,0.65,0.62,N/A,1,0.07,0.68,0.67,0.38,0.17,0.46
N/A,0.06,0.08,0.08,0.13,0.12,0.04,-0.01,0.03,0.26,0.08,0.02,0.23,0.00,0.16,0.15,N/A,0.07,1,0.18,0.08,0.06,0.18,0.07
N/A,0.61,0.11,0.32,0.77,0.72,0.37,0.18,0.25,0.14,0.76,0.23,0.26,0.27,0.80,0.91,N/A,0.68,0.18,1,0.82,0.45,0.28,0.51
N/A,0.58,0.17,0.33,0.65,0.70,0.35,0.13,0.23,0.13,0.74,0.23,0.31,0.49,0.78,0.73,N/A,0.67,0.08,0.82,1,0.47,0.29,0.62
N/A,0.36,0.08,0.22,0.38,0.37,0.18,0.07,0.21,0.12,0.43,0.12,0.23,0.20,0.42,0.43,N/A,0.38,0.06,0.45,0.47,1,0.13,0.30
N/A,0.14,0.03,0.05,0.35,0.21,0.10,0.04,0.01,0.05,0.19,0.11,0.14,0.10,0.22,0.25,N/A,0.17,0.18,0.28,0.29,0.13,1,0.20
N/A,0.39,0.11,0.22,0.38,0.49,0.24,0.09,0.15,0.05,0.49,0.16,0.19,0.22,0.52,0.43,N/A,0.46,0.07,0.51,0.62,0.30,0.20,1
