N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.72,0.75,0.09,0.12,0.01,0.36,0.76,0.24,0.69,0.01,0.51,0.76,N/A,0.70,0.05,0.03,0.59,0.61,0.13,0.27,0.04,0.05,0.03,0.13,0.11
N/A,0.72,1,0.91,0.04,0.16,-0.03,0.17,0.95,0.07,0.89,0.04,0.68,0.92,N/A,0.93,-0.00,-0.01,0.64,0.57,0.04,0.13,0.01,0.01,0.00,0.10,0.07
N/A,0.75,0.91,1,0.10,0.17,0.06,0.49,0.98,0.34,0.85,0.07,0.66,0.97,N/A,0.88,0.10,0.08,0.72,0.83,0.13,0.42,0.06,0.09,0.04,0.15,0.18
N/A,0.09,0.04,0.10,1,0.10,0.03,0.20,0.10,0.19,0.05,-0.06,0.03,0.11,N/A,0.04,0.03,0.01,0.05,0.19,0.05,0.15,-0.00,0.02,0.06,0.02,0.22
N/A,0.12,0.16,0.17,0.10,1,-0.05,0.12,0.18,0.03,0.12,-0.01,0.11,0.19,N/A,0.15,0.00,0.01,0.12,0.15,-0.04,0.11,0.00,-0.00,0.09,0.06,0.08
N/A,0.01,-0.03,0.06,0.03,-0.05,1,0.21,0.03,0.13,-0.02,0.07,-0.01,0.07,N/A,0.00,0.22,0.22,-0.01,0.17,0.01,0.22,0.01,0.01,0.05,0.06,0.13
N/A,0.36,0.17,0.49,0.20,0.12,0.21,1,0.43,0.63,0.24,0.17,0.22,0.48,N/A,0.25,0.21,0.17,0.44,0.81,0.19,0.71,0.14,0.13,0.17,0.21,0.32
N/A,0.76,0.95,0.98,0.10,0.18,0.03,0.43,1,0.28,0.88,0.08,0.68,0.99,N/A,0.91,0.07,0.05,0.72,0.79,0.11,0.37,0.05,0.06,0.04,0.15,0.17
N/A,0.24,0.07,0.34,0.19,0.03,0.13,0.63,0.28,1,0.14,0.11,0.13,0.32,N/A,0.12,0.26,0.23,0.29,0.62,0.17,0.54,0.11,0.22,0.08,0.11,0.24
N/A,0.69,0.89,0.85,0.05,0.12,-0.02,0.24,0.88,0.14,1,0.07,0.61,0.86,N/A,0.85,0.02,0.00,0.64,0.58,0.49,0.19,0.02,0.04,0.00,0.15,0.12
N/A,0.01,0.04,0.07,-0.06,-0.01,0.07,0.17,0.08,0.11,0.07,1,0.00,0.08,N/A,0.01,-0.02,-0.03,0.08,0.13,0.06,0.04,-0.04,0.13,-0.06,0.11,-0.00
N/A,0.51,0.68,0.66,0.03,0.11,-0.01,0.22,0.68,0.13,0.61,0.00,1,0.66,N/A,0.63,0.02,0.02,0.57,0.48,0.04,0.19,0.74,0.03,0.02,0.07,0.07
N/A,0.76,0.92,0.97,0.11,0.19,0.07,0.48,0.99,0.32,0.86,0.08,0.66,1,N/A,0.90,0.09,0.08,0.71,0.81,0.11,0.40,0.05,0.07,0.06,0.15,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.70,0.93,0.88,0.04,0.15,0.00,0.25,0.91,0.12,0.85,0.01,0.63,0.90,N/A,1,0.05,0.05,0.66,0.61,0.08,0.21,0.01,0.03,0.03,0.13,0.10
