N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.05,0.16,0.12,0.10,0.16,0.11,0.04,N/A,N/A
N/A,0.05,1,-0.03,-0.00,-0.04,-0.08,0.03,-0.07,N/A,N/A
N/A,0.16,-0.03,1,0.21,0.10,0.12,0.15,0.09,N/A,N/A
N/A,0.12,-0.00,0.21,1,0.06,0.05,0.20,0.26,N/A,N/A
N/A,0.10,-0.04,0.10,0.06,1,0.08,0.10,-0.01,N/A,N/A
N/A,0.16,-0.08,0.12,0.05,0.08,1,0.11,0.12,N/A,N/A
N/A,0.11,0.03,0.15,0.20,0.10,0.11,1,0.10,N/A,N/A
N/A,0.04,-0.07,0.09,0.26,-0.01,0.12,0.10,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
