1,0.20,0.78,0.40,N/A,0.19,0.66,0.81,0.72,N/A,0.89,0.71,0.86,0.22,0.86,0.63,0.70,0.40,0.66,0.78,0.66,0.68,0.75,0.22,0.82,0.62,0.56,0.25,0.39,0.68,0.33,0.94,0.40,0.41,0.65
0.20,1,0.11,0.06,N/A,-0.03,0.16,0.21,0.21,N/A,0.21,0.12,0.19,0.09,0.19,0.21,0.27,0.08,0.22,0.19,0.15,0.17,0.26,0.09,0.15,0.09,0.12,0.06,0.12,0.17,0.03,0.19,0.12,0.25,0.15
0.78,0.11,1,0.51,N/A,0.12,0.58,0.67,0.62,N/A,0.78,0.69,0.68,0.15,0.82,0.62,0.67,0.43,0.55,0.69,0.61,0.64,0.62,0.15,0.75,0.58,0.56,0.34,0.31,0.64,0.29,0.82,0.39,0.31,0.64
0.40,0.06,0.51,1,N/A,0.07,0.35,0.33,0.39,N/A,0.39,0.38,0.38,0.06,0.47,0.49,0.50,0.35,0.38,0.37,0.39,0.38,0.37,0.06,0.36,0.42,0.22,0.24,0.27,0.38,0.09,0.39,0.07,0.22,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,-0.03,0.12,0.07,N/A,1,0.21,0.23,0.14,N/A,0.22,0.17,0.16,0.26,0.21,0.21,0.27,0.01,0.16,0.17,0.12,0.11,0.21,0.26,0.19,0.07,0.09,0.07,0.11,0.12,0.03,0.22,0.09,0.13,0.14
0.66,0.16,0.58,0.35,N/A,0.21,1,0.62,0.54,N/A,0.66,0.55,0.56,0.13,0.74,0.58,0.63,0.31,0.53,0.69,0.54,0.49,0.61,0.13,0.61,0.54,0.47,0.16,0.47,0.49,0.26,0.68,0.21,0.41,0.46
0.81,0.21,0.67,0.33,N/A,0.23,0.62,1,0.68,N/A,0.81,0.63,0.68,0.37,0.76,0.58,0.67,0.38,0.67,0.71,0.62,0.62,0.79,0.37,0.72,0.52,0.50,0.21,0.39,0.62,0.34,0.83,0.35,0.43,0.58
0.72,0.21,0.62,0.39,N/A,0.14,0.54,0.68,1,N/A,0.72,0.61,0.60,0.20,0.69,0.61,0.62,0.63,0.98,0.62,0.81,0.85,0.84,0.20,0.64,0.44,0.42,0.22,0.37,0.84,0.26,0.75,0.31,0.33,0.50
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.89,0.21,0.78,0.39,N/A,0.22,0.66,0.81,0.72,N/A,1,0.73,0.75,0.24,0.84,0.64,0.72,0.41,0.67,0.82,0.67,0.68,0.74,0.24,0.82,0.64,0.58,0.26,0.39,0.68,0.32,0.92,0.39,0.40,0.64
0.71,0.12,0.69,0.38,N/A,0.17,0.55,0.63,0.61,N/A,0.73,1,0.59,0.18,0.77,0.54,0.61,0.38,0.56,0.65,0.54,0.57,0.61,0.18,0.66,0.50,0.46,0.24,0.35,0.57,0.28,0.76,0.33,0.32,0.51
0.86,0.19,0.68,0.38,N/A,0.16,0.56,0.68,0.60,N/A,0.75,0.59,1,0.15,0.72,0.55,0.62,0.38,0.57,0.75,0.55,0.62,0.64,0.15,0.67,0.63,0.47,0.28,0.33,0.62,0.27,0.77,0.35,0.36,0.62
0.22,0.09,0.15,0.06,N/A,0.26,0.13,0.37,0.20,N/A,0.24,0.18,0.15,1,0.20,0.22,0.27,0.10,0.22,0.23,0.18,0.17,0.25,1.00,0.21,0.07,0.17,0.11,0.10,0.18,0.25,0.24,0.14,0.27,0.22
0.86,0.19,0.82,0.47,N/A,0.21,0.74,0.76,0.69,N/A,0.84,0.77,0.72,0.20,1,0.71,0.78,0.42,0.64,0.79,0.64,0.67,0.73,0.20,0.79,0.62,0.55,0.29,0.46,0.67,0.33,0.90,0.37,0.45,0.65
0.63,0.21,0.62,0.49,N/A,0.21,0.58,0.58,0.61,N/A,0.64,0.54,0.55,0.22,0.71,1,0.78,0.40,0.61,0.65,0.53,0.59,0.63,0.22,0.53,0.47,0.44,0.25,0.45,0.59,0.23,0.64,0.20,0.39,0.45
0.70,0.27,0.67,0.50,N/A,0.27,0.63,0.67,0.62,N/A,0.72,0.61,0.62,0.27,0.78,0.78,1,0.41,0.63,0.71,0.57,0.60,0.73,0.27,0.60,0.49,0.49,0.29,0.44,0.60,0.27,0.71,0.22,0.52,0.52
0.40,0.08,0.43,0.35,N/A,0.01,0.31,0.38,0.63,N/A,0.41,0.38,0.38,0.10,0.42,0.40,0.41,1,0.62,0.37,0.73,0.62,0.50,0.10,0.35,0.29,0.22,0.31,0.15,0.62,0.22,0.41,0.22,0.14,0.38
0.66,0.22,0.55,0.38,N/A,0.16,0.53,0.67,0.98,N/A,0.67,0.56,0.57,0.22,0.64,0.61,0.63,0.62,1,0.60,0.78,0.82,0.84,0.22,0.58,0.42,0.38,0.21,0.38,0.82,0.22,0.67,0.27,0.35,0.46
0.78,0.19,0.69,0.37,N/A,0.17,0.69,0.71,0.62,N/A,0.82,0.65,0.75,0.23,0.79,0.65,0.71,0.37,0.60,1,0.58,0.60,0.68,0.23,0.69,0.57,0.51,0.26,0.47,0.60,0.27,0.80,0.31,0.43,0.60
0.66,0.15,0.61,0.39,N/A,0.12,0.54,0.62,0.81,N/A,0.67,0.54,0.55,0.18,0.64,0.53,0.57,0.73,0.78,0.58,1,0.71,0.70,0.18,0.76,0.46,0.38,0.25,0.33,0.71,0.29,0.69,0.28,0.29,0.48
0.68,0.17,0.64,0.38,N/A,0.11,0.49,0.62,0.85,N/A,0.68,0.57,0.62,0.17,0.67,0.59,0.60,0.62,0.82,0.60,0.71,1,0.73,0.17,0.58,0.44,0.40,0.33,0.35,1.00,0.25,0.69,0.34,0.33,0.58
0.75,0.26,0.62,0.37,N/A,0.21,0.61,0.79,0.84,N/A,0.74,0.61,0.64,0.25,0.73,0.63,0.73,0.50,0.84,0.68,0.70,0.73,1,0.25,0.63,0.45,0.42,0.21,0.44,0.73,0.25,0.76,0.28,0.43,0.52
0.22,0.09,0.15,0.06,N/A,0.26,0.13,0.37,0.20,N/A,0.24,0.18,0.15,1.00,0.20,0.22,0.27,0.10,0.22,0.23,0.18,0.17,0.25,1,0.21,0.07,0.17,0.11,0.10,0.18,0.25,0.24,0.14,0.27,0.22
0.82,0.15,0.75,0.36,N/A,0.19,0.61,0.72,0.64,N/A,0.82,0.66,0.67,0.21,0.79,0.53,0.60,0.35,0.58,0.69,0.76,0.58,0.63,0.21,1,0.56,0.51,0.22,0.37,0.59,0.29,0.87,0.36,0.36,0.59
0.62,0.09,0.58,0.42,N/A,0.07,0.54,0.52,0.44,N/A,0.64,0.50,0.63,0.07,0.62,0.47,0.49,0.29,0.42,0.57,0.46,0.44,0.45,0.07,0.56,1,0.41,0.22,0.38,0.44,0.19,0.60,0.22,0.26,0.44
0.56,0.12,0.56,0.22,N/A,0.09,0.47,0.50,0.42,N/A,0.58,0.46,0.47,0.17,0.55,0.44,0.49,0.22,0.38,0.51,0.38,0.40,0.42,0.17,0.51,0.41,1,0.14,0.28,0.42,0.24,0.60,0.26,0.35,0.41
0.25,0.06,0.34,0.24,N/A,0.07,0.16,0.21,0.22,N/A,0.26,0.24,0.28,0.11,0.29,0.25,0.29,0.31,0.21,0.26,0.25,0.33,0.21,0.11,0.22,0.22,0.14,1,0.07,0.32,0.08,0.26,0.23,0.17,0.41
0.39,0.12,0.31,0.27,N/A,0.11,0.47,0.39,0.37,N/A,0.39,0.35,0.33,0.10,0.46,0.45,0.44,0.15,0.38,0.47,0.33,0.35,0.44,0.10,0.37,0.38,0.28,0.07,1,0.35,0.09,0.40,0.07,0.35,0.24
0.68,0.17,0.64,0.38,N/A,0.12,0.49,0.62,0.84,N/A,0.68,0.57,0.62,0.18,0.67,0.59,0.60,0.62,0.82,0.60,0.71,1.00,0.73,0.18,0.59,0.44,0.42,0.32,0.35,1,0.25,0.69,0.34,0.33,0.58
0.33,0.03,0.29,0.09,N/A,0.03,0.26,0.34,0.26,N/A,0.32,0.28,0.27,0.25,0.33,0.23,0.27,0.22,0.22,0.27,0.29,0.25,0.25,0.25,0.29,0.19,0.24,0.08,0.09,0.25,1,0.36,0.15,0.13,0.23
0.94,0.19,0.82,0.39,N/A,0.22,0.68,0.83,0.75,N/A,0.92,0.76,0.77,0.24,0.90,0.64,0.71,0.41,0.67,0.80,0.69,0.69,0.76,0.24,0.87,0.60,0.60,0.26,0.40,0.69,0.36,1,0.40,0.42,0.68
0.40,0.12,0.39,0.07,N/A,0.09,0.21,0.35,0.31,N/A,0.39,0.33,0.35,0.14,0.37,0.20,0.22,0.22,0.27,0.31,0.28,0.34,0.28,0.14,0.36,0.22,0.26,0.23,0.07,0.34,0.15,0.40,1,0.19,0.63
0.41,0.25,0.31,0.22,N/A,0.13,0.41,0.43,0.33,N/A,0.40,0.32,0.36,0.27,0.45,0.39,0.52,0.14,0.35,0.43,0.29,0.33,0.43,0.27,0.36,0.26,0.35,0.17,0.35,0.33,0.13,0.42,0.19,1,0.33
0.65,0.15,0.64,0.30,N/A,0.14,0.46,0.58,0.50,N/A,0.64,0.51,0.62,0.22,0.65,0.45,0.52,0.38,0.46,0.60,0.48,0.58,0.52,0.22,0.59,0.44,0.41,0.41,0.24,0.58,0.23,0.68,0.63,0.33,1
