1,0.11,0.09,0.27,0.19,-0.01,0.43,0.38,0.21,0.33,0.27,0.36,0.23,0.33,0.07,0.11,0.15,N/A
0.11,1,-0.02,0.08,0.03,0.13,0.02,0.09,0.01,0.05,0.03,0.18,0.01,0.08,0.02,0.02,0.01,N/A
0.09,-0.02,1,0.14,0.07,-0.05,0.18,0.13,0.05,0.05,0.01,0.09,0.10,0.12,0.01,0.09,0.32,N/A
0.27,0.08,0.14,1,0.53,0.01,0.37,0.29,0.15,0.39,0.13,0.38,0.36,0.54,0.04,0.02,0.22,N/A
0.19,0.03,0.07,0.53,1,0.06,0.29,0.20,0.11,0.18,0.10,0.18,0.28,0.54,0.04,0.18,0.15,N/A
-0.01,0.13,-0.05,0.01,0.06,1,0.06,0.09,0.02,0.06,0.14,0.22,0.02,0.13,0.01,0.05,-0.05,N/A
0.43,0.02,0.18,0.37,0.29,0.06,1,0.52,0.23,0.39,0.49,0.50,0.23,0.42,0.05,0.17,0.25,N/A
0.38,0.09,0.13,0.29,0.20,0.09,0.52,1,0.25,0.27,0.29,0.44,0.18,0.28,0.02,0.23,0.22,N/A
0.21,0.01,0.05,0.15,0.11,0.02,0.23,0.25,1,0.13,0.12,0.16,0.10,0.15,0.04,0.13,0.01,N/A
0.33,0.05,0.05,0.39,0.18,0.06,0.39,0.27,0.13,1,0.20,0.45,0.23,0.35,0.06,0.09,0.16,N/A
0.27,0.03,0.01,0.13,0.10,0.14,0.49,0.29,0.12,0.20,1,0.38,0.22,0.24,0.03,0.07,0.05,N/A
0.36,0.18,0.09,0.38,0.18,0.22,0.50,0.44,0.16,0.45,0.38,1,0.26,0.42,0.03,0.10,0.19,N/A
0.23,0.01,0.10,0.36,0.28,0.02,0.23,0.18,0.10,0.23,0.22,0.26,1,0.31,0.11,0.08,0.06,N/A
0.33,0.08,0.12,0.54,0.54,0.13,0.42,0.28,0.15,0.35,0.24,0.42,0.31,1,0.05,0.06,0.18,N/A
0.07,0.02,0.01,0.04,0.04,0.01,0.05,0.02,0.04,0.06,0.03,0.03,0.11,0.05,1,0.05,0.14,N/A
0.11,0.02,0.09,0.02,0.18,0.05,0.17,0.23,0.13,0.09,0.07,0.10,0.08,0.06,0.05,1,-0.01,N/A
0.15,0.01,0.32,0.22,0.15,-0.05,0.25,0.22,0.01,0.16,0.05,0.19,0.06,0.18,0.14,-0.01,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
