1,0.80,0.72,0.43,0.80,0.25,0.72,0.10,0.83,0.70,0.71,0.13,0.50,0.35,0.21,0.79,0.79,N/A,0.49,0.24,0.62,0.19,0.80,0.13,0.50,0.82,0.47,0.32,0.18,0.36,0.45,0.70,0.11,0.24,0.80
0.80,1,0.74,0.55,0.85,0.26,0.80,0.11,0.89,0.79,0.95,0.17,0.58,0.36,0.19,0.97,0.85,N/A,0.38,0.30,0.65,0.16,0.46,0.19,0.45,0.93,0.44,0.40,0.21,0.40,0.51,0.79,0.20,0.28,0.46
0.72,0.74,1,0.36,0.72,0.15,0.65,0.13,0.80,0.88,0.65,0.11,0.54,0.29,0.15,0.76,0.80,N/A,0.41,0.22,0.65,0.21,0.44,0.08,0.39,0.77,0.58,0.28,0.17,0.29,0.43,0.65,0.12,0.17,0.44
0.43,0.55,0.36,1,0.41,0.14,0.50,0.00,0.50,0.43,0.58,0.16,0.31,0.13,0.09,0.57,0.46,N/A,0.12,0.21,0.31,0.07,0.23,0.16,0.31,0.51,0.20,0.23,0.15,0.22,0.24,0.49,0.14,0.23,0.23
0.80,0.85,0.72,0.41,1,0.24,0.74,0.10,0.79,0.73,0.73,0.14,0.53,0.29,0.21,0.79,0.73,N/A,0.67,0.28,0.55,0.17,0.56,0.14,0.43,0.89,0.41,0.44,0.21,0.54,0.48,0.86,0.19,0.25,0.56
0.25,0.26,0.15,0.14,0.24,1,0.22,-0.02,0.19,0.18,0.21,0.08,0.10,0.25,0.02,0.21,0.16,N/A,0.06,0.02,0.11,0.02,0.22,0.30,0.17,0.20,0.05,0.26,-0.03,0.07,0.09,0.18,0.02,0.09,0.22
0.72,0.80,0.65,0.50,0.74,0.22,1,0.05,0.79,0.71,0.72,0.16,0.55,0.30,0.12,0.80,0.74,N/A,0.31,0.21,0.57,0.14,0.41,0.16,0.43,0.76,0.42,0.39,0.22,0.34,0.49,0.73,0.19,0.24,0.41
0.10,0.11,0.13,0.00,0.10,-0.02,0.05,1,0.15,0.12,0.09,0.01,0.11,0.07,0.08,0.10,0.14,N/A,0.03,0.01,0.10,0.05,0.09,-0.01,0.02,0.09,0.12,0.05,0.07,0.00,0.09,0.09,0.03,0.04,0.09
0.83,0.89,0.80,0.50,0.79,0.19,0.79,0.15,1,0.80,0.80,0.12,0.62,0.30,0.17,0.92,0.95,N/A,0.35,0.30,0.73,0.23,0.47,0.15,0.48,0.88,0.65,0.29,0.20,0.30,0.54,0.78,0.15,0.23,0.47
0.70,0.79,0.88,0.43,0.73,0.18,0.71,0.12,0.80,1,0.71,0.22,0.53,0.31,0.12,0.79,0.78,N/A,0.36,0.21,0.63,0.17,0.40,0.16,0.40,0.78,0.53,0.38,0.23,0.38,0.48,0.69,0.18,0.26,0.40
0.71,0.95,0.65,0.58,0.73,0.21,0.72,0.09,0.80,0.71,1,0.16,0.56,0.32,0.17,0.91,0.77,N/A,0.32,0.30,0.59,0.11,0.39,0.17,0.38,0.86,0.38,0.35,0.20,0.41,0.49,0.74,0.22,0.27,0.39
0.13,0.17,0.11,0.16,0.14,0.08,0.16,0.01,0.12,0.22,0.16,1,0.07,0.10,0.00,0.15,0.12,N/A,-0.01,0.10,0.10,0.02,0.08,0.10,0.11,0.12,0.01,0.22,0.02,0.06,0.05,0.13,0.04,0.09,0.08
0.50,0.58,0.54,0.31,0.53,0.10,0.55,0.11,0.62,0.53,0.56,0.07,1,0.19,0.08,0.60,0.63,N/A,0.21,0.16,0.48,0.11,0.24,0.07,0.33,0.57,0.33,0.21,0.25,0.27,0.63,0.59,0.30,0.12,0.24
0.35,0.36,0.29,0.13,0.29,0.25,0.30,0.07,0.30,0.31,0.32,0.10,0.19,1,0.05,0.34,0.31,N/A,0.10,0.01,0.25,0.05,0.22,0.15,0.26,0.31,0.12,0.17,0.06,0.10,0.18,0.24,0.09,0.19,0.22
0.21,0.19,0.15,0.09,0.21,0.02,0.12,0.08,0.17,0.12,0.17,0.00,0.08,0.05,1,0.18,0.14,N/A,0.18,0.06,0.11,0.02,0.13,0.08,0.18,0.22,0.09,0.02,0.03,0.11,0.06,0.15,0.02,0.02,0.13
0.79,0.97,0.76,0.57,0.79,0.21,0.80,0.10,0.92,0.79,0.91,0.15,0.60,0.34,0.18,1,0.90,N/A,0.33,0.30,0.69,0.17,0.42,0.15,0.46,0.93,0.49,0.34,0.21,0.34,0.53,0.78,0.18,0.26,0.42
0.79,0.85,0.80,0.46,0.73,0.16,0.74,0.14,0.95,0.78,0.77,0.12,0.63,0.31,0.14,0.90,1,N/A,0.32,0.30,0.74,0.19,0.43,0.11,0.46,0.85,0.59,0.28,0.20,0.26,0.54,0.72,0.14,0.21,0.43
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.49,0.38,0.41,0.12,0.67,0.06,0.31,0.03,0.35,0.36,0.32,-0.01,0.21,0.10,0.18,0.33,0.32,N/A,1,0.13,0.25,0.03,0.51,0.02,0.20,0.65,0.29,0.27,0.17,0.60,0.20,0.31,0.07,0.07,0.51
0.24,0.30,0.22,0.21,0.28,0.02,0.21,0.01,0.30,0.21,0.30,0.10,0.16,0.01,0.06,0.30,0.30,N/A,0.13,1,0.20,0.03,0.08,-0.00,0.18,0.29,0.12,0.09,0.10,0.08,0.18,0.31,0.10,0.06,0.08
0.62,0.65,0.65,0.31,0.55,0.11,0.57,0.10,0.73,0.63,0.59,0.10,0.48,0.25,0.11,0.69,0.74,N/A,0.25,0.20,1,0.19,0.34,0.12,0.35,0.65,0.53,0.17,0.16,0.22,0.40,0.53,0.12,0.18,0.34
0.19,0.16,0.21,0.07,0.17,0.02,0.14,0.05,0.23,0.17,0.11,0.02,0.11,0.05,0.02,0.17,0.19,N/A,0.03,0.03,0.19,1,0.12,0.12,0.08,0.15,0.16,0.04,0.06,0.01,0.16,0.19,0.07,0.07,0.12
0.80,0.46,0.44,0.23,0.56,0.22,0.41,0.09,0.47,0.40,0.39,0.08,0.24,0.22,0.13,0.42,0.43,N/A,0.51,0.08,0.34,0.12,1,0.04,0.31,0.53,0.31,0.21,0.12,0.33,0.23,0.40,0.02,0.15,1.00
0.13,0.19,0.08,0.16,0.14,0.30,0.16,-0.01,0.15,0.16,0.17,0.10,0.07,0.15,0.08,0.15,0.11,N/A,0.02,-0.00,0.12,0.12,0.04,1,0.10,0.13,0.03,0.12,0.02,0.05,0.09,0.11,0.02,0.27,0.04
0.50,0.45,0.39,0.31,0.43,0.17,0.43,0.02,0.48,0.40,0.38,0.11,0.33,0.26,0.18,0.46,0.46,N/A,0.20,0.18,0.35,0.08,0.31,0.10,1,0.45,0.23,0.21,0.08,0.13,0.31,0.40,0.10,0.05,0.31
0.82,0.93,0.77,0.51,0.89,0.20,0.76,0.09,0.88,0.78,0.86,0.12,0.57,0.31,0.22,0.93,0.85,N/A,0.65,0.29,0.65,0.15,0.53,0.13,0.45,1,0.50,0.38,0.24,0.50,0.50,0.75,0.17,0.24,0.53
