1,0.32,N/A,0.63,0.33,0.53,0.43,N/A,0.42,N/A,0.20,N/A,0.08,0.64,N/A,0.47,0.32,0.21
0.32,1,N/A,0.30,0.45,0.47,0.30,N/A,0.31,N/A,0.09,N/A,0.07,0.22,N/A,0.25,0.29,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.63,0.30,N/A,1,0.25,0.40,0.32,N/A,0.42,N/A,0.06,N/A,0.03,0.34,N/A,0.38,0.09,0.14
0.33,0.45,N/A,0.25,1,0.48,0.34,N/A,0.44,N/A,-0.01,N/A,0.05,0.15,N/A,0.14,0.24,0.09
0.53,0.47,N/A,0.40,0.48,1,0.40,N/A,0.50,N/A,0.12,N/A,0.03,0.34,N/A,0.31,0.42,0.22
0.43,0.30,N/A,0.32,0.34,0.40,1,N/A,0.31,N/A,0.06,N/A,0.18,0.24,N/A,0.27,0.17,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.42,0.31,N/A,0.42,0.44,0.50,0.31,N/A,1,N/A,0.05,N/A,-0.02,0.19,N/A,0.21,0.21,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.20,0.09,N/A,0.06,-0.01,0.12,0.06,N/A,0.05,N/A,1,N/A,0.20,0.28,N/A,0.14,0.09,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.07,N/A,0.03,0.05,0.03,0.18,N/A,-0.02,N/A,0.20,N/A,1,0.06,N/A,0.13,0.06,-0.01
0.64,0.22,N/A,0.34,0.15,0.34,0.24,N/A,0.19,N/A,0.28,N/A,0.06,1,N/A,0.32,0.39,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.47,0.25,N/A,0.38,0.14,0.31,0.27,N/A,0.21,N/A,0.14,N/A,0.13,0.32,N/A,1,0.07,0.17
0.32,0.29,N/A,0.09,0.24,0.42,0.17,N/A,0.21,N/A,0.09,N/A,0.06,0.39,N/A,0.07,1,0.14
0.21,0.10,N/A,0.14,0.09,0.22,0.12,N/A,0.20,N/A,0.02,N/A,-0.01,0.10,N/A,0.17,0.14,1
