1,0.20,0.01,0.06,0.16,0.31,0.14,0.25,0.34,0.01,0.14,0.45,0.21,0.43,0.34,-0.05,0.24
0.20,1,0.01,0.05,0.13,0.24,0.19,0.14,0.28,0.06,0.16,0.17,0.19,0.40,0.30,0.07,0.07
0.01,0.01,1,0.06,-0.00,0.09,0.05,0.08,0.06,0.27,-0.00,0.19,0.07,0.14,0.02,-0.02,0.03
0.06,0.05,0.06,1,-0.02,0.06,0.04,0.07,0.16,0.08,0.00,0.05,0.02,0.19,0.04,0.00,0.14
0.16,0.13,-0.00,-0.02,1,0.11,0.03,0.10,0.19,0.07,-0.01,0.08,0.06,0.20,0.13,-0.02,0.06
0.31,0.24,0.09,0.06,0.11,1,0.17,0.28,0.42,0.07,0.15,0.37,0.27,0.47,0.28,0.03,0.18
0.14,0.19,0.05,0.04,0.03,0.17,1,0.08,0.27,0.04,0.16,0.23,0.24,0.29,0.24,0.02,0.20
0.25,0.14,0.08,0.07,0.10,0.28,0.08,1,0.42,0.10,0.11,0.29,0.35,0.32,0.26,0.05,0.29
0.34,0.28,0.06,0.16,0.19,0.42,0.27,0.42,1,0.05,0.17,0.40,0.36,0.58,0.42,0.10,0.36
0.01,0.06,0.27,0.08,0.07,0.07,0.04,0.10,0.05,1,0.04,0.16,0.21,0.16,0.12,0.01,0.15
0.14,0.16,-0.00,0.00,-0.01,0.15,0.16,0.11,0.17,0.04,1,0.17,0.05,0.13,0.23,0.01,-0.00
0.45,0.17,0.19,0.05,0.08,0.37,0.23,0.29,0.40,0.16,0.17,1,0.25,0.43,0.29,0.03,0.34
0.21,0.19,0.07,0.02,0.06,0.27,0.24,0.35,0.36,0.21,0.05,0.25,1,0.41,0.36,0.03,0.36
0.43,0.40,0.14,0.19,0.20,0.47,0.29,0.32,0.58,0.16,0.13,0.43,0.41,1,0.45,0.07,0.31
0.34,0.30,0.02,0.04,0.13,0.28,0.24,0.26,0.42,0.12,0.23,0.29,0.36,0.45,1,0.04,0.20
-0.05,0.07,-0.02,0.00,-0.02,0.03,0.02,0.05,0.10,0.01,0.01,0.03,0.03,0.07,0.04,1,0.02
0.24,0.07,0.03,0.14,0.06,0.18,0.20,0.29,0.36,0.15,-0.00,0.34,0.36,0.31,0.20,0.02,1
