1,0.24,0.50,0.59,0.34,0.24,0.32,0.11,N/A,0.25,0.43,0.46,0.11
0.24,1,0.16,0.21,0.33,0.05,0.11,0.16,N/A,0.18,0.35,0.20,0.02
0.50,0.16,1,0.56,0.20,0.17,0.21,0.04,N/A,0.22,0.29,0.40,0.07
0.59,0.21,0.56,1,0.45,0.36,0.44,0.16,N/A,0.37,0.53,0.46,0.13
0.34,0.33,0.20,0.45,1,0.31,0.43,0.22,N/A,0.26,0.46,0.26,0.10
0.24,0.05,0.17,0.36,0.31,1,0.36,0.16,N/A,0.17,0.26,0.18,0.32
0.32,0.11,0.21,0.44,0.43,0.36,1,0.21,N/A,0.15,0.40,0.13,-0.00
0.11,0.16,0.04,0.16,0.22,0.16,0.21,1,N/A,0.06,0.17,0.13,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.25,0.18,0.22,0.37,0.26,0.17,0.15,0.06,N/A,1,0.24,0.38,0.13
0.43,0.35,0.29,0.53,0.46,0.26,0.40,0.17,N/A,0.24,1,0.38,0.04
0.46,0.20,0.40,0.46,0.26,0.18,0.13,0.13,N/A,0.38,0.38,1,0.07
0.11,0.02,0.07,0.13,0.10,0.32,-0.00,0.04,N/A,0.13,0.04,0.07,1
