1,0.35,0.13,0.03,0.04,0.14,0.09,0.34,0.17,0.09,0.05,0.03,0.38,0.34,0.19,0.32,N/A
0.35,1,0.12,0.02,0.10,-0.02,0.22,0.25,0.19,0.18,0.07,0.12,0.26,0.33,0.10,0.20,N/A
0.13,0.12,1,0.02,0.01,-0.01,0.04,0.09,0.02,0.01,-0.01,0.02,0.09,0.10,0.04,0.04,N/A
0.03,0.02,0.02,1,-0.00,0.00,-0.00,0.00,0.02,0.01,-0.00,0.01,0.02,0.02,0.01,0.02,N/A
0.04,0.10,0.01,-0.00,1,0.00,-0.03,0.05,0.15,0.11,0.04,-0.01,0.29,0.09,0.00,0.04,N/A
0.14,-0.02,-0.01,0.00,0.00,1,-0.01,-0.00,0.02,0.03,-0.00,0.03,0.04,0.01,0.02,-0.00,N/A
0.09,0.22,0.04,-0.00,-0.03,-0.01,1,-0.03,0.06,0.01,-0.03,0.08,-0.04,0.00,0.04,0.09,N/A
0.34,0.25,0.09,0.00,0.05,-0.00,-0.03,1,0.18,0.07,0.02,-0.00,0.42,0.33,0.11,0.40,N/A
0.17,0.19,0.02,0.02,0.15,0.02,0.06,0.18,1,0.10,0.04,0.07,0.32,0.22,0.05,0.22,N/A
0.09,0.18,0.01,0.01,0.11,0.03,0.01,0.07,0.10,1,0.79,0.26,0.20,0.20,0.03,0.13,N/A
0.05,0.07,-0.01,-0.00,0.04,-0.00,-0.03,0.02,0.04,0.79,1,0.03,0.10,0.16,0.03,0.01,N/A
0.03,0.12,0.02,0.01,-0.01,0.03,0.08,-0.00,0.07,0.26,0.03,1,0.08,0.05,0.04,0.14,N/A
0.38,0.26,0.09,0.02,0.29,0.04,-0.04,0.42,0.32,0.20,0.10,0.08,1,0.66,0.08,0.35,N/A
0.34,0.33,0.10,0.02,0.09,0.01,0.00,0.33,0.22,0.20,0.16,0.05,0.66,1,0.08,0.37,N/A
0.19,0.10,0.04,0.01,0.00,0.02,0.04,0.11,0.05,0.03,0.03,0.04,0.08,0.08,1,0.11,N/A
0.32,0.20,0.04,0.02,0.04,-0.00,0.09,0.40,0.22,0.13,0.01,0.14,0.35,0.37,0.11,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
