1,0.01,N/A,0.05,-0.04,0.09,0.12,0.01,0.13,0.03,0.16,0.02,N/A,N/A,0.07,N/A,0.09,0.14,0.05,N/A,0.01,0.18,0.09,0.16
0.01,1,N/A,0.14,-0.05,0.05,0.17,0.08,0.08,0.04,0.19,0.07,N/A,N/A,0.05,N/A,0.02,0.20,0.08,N/A,0.06,-0.08,0.06,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.14,N/A,1,0.04,0.11,0.23,0.06,0.10,0.05,0.25,0.06,N/A,N/A,0.10,N/A,0.06,0.10,0.02,N/A,0.29,0.13,0.15,0.26
-0.04,-0.05,N/A,0.04,1,0.02,0.02,-0.03,0.00,0.03,0.05,0.25,N/A,N/A,-0.02,N/A,-0.04,-0.10,0.02,N/A,-0.01,0.08,0.27,-0.01
0.09,0.05,N/A,0.11,0.02,1,0.21,0.02,0.10,0.02,0.09,0.10,N/A,N/A,0.01,N/A,0.07,0.06,0.07,N/A,0.10,0.02,0.18,0.14
0.12,0.17,N/A,0.23,0.02,0.21,1,0.11,0.15,0.09,0.41,0.10,N/A,N/A,0.13,N/A,0.06,0.18,0.07,N/A,0.22,0.16,0.28,0.29
0.01,0.08,N/A,0.06,-0.03,0.02,0.11,1,0.35,0.03,0.08,0.03,N/A,N/A,0.02,N/A,0.03,0.10,-0.02,N/A,0.02,0.05,0.11,0.05
0.13,0.08,N/A,0.10,0.00,0.10,0.15,0.35,1,0.04,0.14,0.15,N/A,N/A,0.23,N/A,0.45,0.23,0.14,N/A,0.11,0.14,0.29,0.34
0.03,0.04,N/A,0.05,0.03,0.02,0.09,0.03,0.04,1,0.03,0.05,N/A,N/A,0.03,N/A,0.02,0.09,-0.06,N/A,0.02,0.08,0.01,0.13
0.16,0.19,N/A,0.25,0.05,0.09,0.41,0.08,0.14,0.03,1,0.06,N/A,N/A,0.06,N/A,0.09,0.16,0.09,N/A,0.14,0.17,0.20,0.25
0.02,0.07,N/A,0.06,0.25,0.10,0.10,0.03,0.15,0.05,0.06,1,N/A,N/A,0.01,N/A,0.15,0.07,-0.02,N/A,0.12,0.16,0.28,0.21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.05,N/A,0.10,-0.02,0.01,0.13,0.02,0.23,0.03,0.06,0.01,N/A,N/A,1,N/A,0.23,0.04,0.07,N/A,0.06,0.11,0.14,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,0.02,N/A,0.06,-0.04,0.07,0.06,0.03,0.45,0.02,0.09,0.15,N/A,N/A,0.23,N/A,1,0.12,0.18,N/A,0.28,0.16,0.23,0.34
0.14,0.20,N/A,0.10,-0.10,0.06,0.18,0.10,0.23,0.09,0.16,0.07,N/A,N/A,0.04,N/A,0.12,1,0.03,N/A,0.21,0.14,0.14,0.24
0.05,0.08,N/A,0.02,0.02,0.07,0.07,-0.02,0.14,-0.06,0.09,-0.02,N/A,N/A,0.07,N/A,0.18,0.03,1,N/A,0.21,0.10,0.13,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.06,N/A,0.29,-0.01,0.10,0.22,0.02,0.11,0.02,0.14,0.12,N/A,N/A,0.06,N/A,0.28,0.21,0.21,N/A,1,0.10,0.21,0.70
0.18,-0.08,N/A,0.13,0.08,0.02,0.16,0.05,0.14,0.08,0.17,0.16,N/A,N/A,0.11,N/A,0.16,0.14,0.10,N/A,0.10,1,0.20,0.16
0.09,0.06,N/A,0.15,0.27,0.18,0.28,0.11,0.29,0.01,0.20,0.28,N/A,N/A,0.14,N/A,0.23,0.14,0.13,N/A,0.21,0.20,1,0.33
0.16,0.11,N/A,0.26,-0.01,0.14,0.29,0.05,0.34,0.13,0.25,0.21,N/A,N/A,0.08,N/A,0.34,0.24,0.20,N/A,0.70,0.16,0.33,1
