1,0.16,0.14,0.01,0.07,0.03,0.03,0.08,0.05,0.05,0.02,0.03,N/A,-0.07,0.06,0.04
0.16,1,0.75,0.57,0.43,0.54,0.40,0.34,0.24,0.13,0.57,0.32,N/A,0.33,0.19,0.34
0.14,0.75,1,0.66,0.53,0.58,0.40,0.39,0.29,0.18,0.65,0.39,N/A,0.39,0.16,0.34
0.01,0.57,0.66,1,0.42,0.57,0.28,0.27,0.28,0.09,0.57,0.23,N/A,0.25,0.15,0.28
0.07,0.43,0.53,0.42,1,0.30,0.11,0.23,0.17,0.07,0.43,0.24,N/A,0.40,0.06,0.15
0.03,0.54,0.58,0.57,0.30,1,0.18,0.28,0.15,0.09,0.62,0.32,N/A,0.11,0.10,0.15
0.03,0.40,0.40,0.28,0.11,0.18,1,0.16,0.15,0.09,0.28,0.08,N/A,0.25,0.15,0.39
0.08,0.34,0.39,0.27,0.23,0.28,0.16,1,0.17,0.03,0.35,0.21,N/A,0.18,0.08,0.12
0.05,0.24,0.29,0.28,0.17,0.15,0.15,0.17,1,0.00,0.23,0.04,N/A,0.13,0.08,0.26
0.05,0.13,0.18,0.09,0.07,0.09,0.09,0.03,0.00,1,0.07,0.04,N/A,0.06,-0.04,0.11
0.02,0.57,0.65,0.57,0.43,0.62,0.28,0.35,0.23,0.07,1,0.36,N/A,0.29,0.06,0.25
0.03,0.32,0.39,0.23,0.24,0.32,0.08,0.21,0.04,0.04,0.36,1,N/A,0.15,0.08,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.07,0.33,0.39,0.25,0.40,0.11,0.25,0.18,0.13,0.06,0.29,0.15,N/A,1,0.16,0.24
0.06,0.19,0.16,0.15,0.06,0.10,0.15,0.08,0.08,-0.04,0.06,0.08,N/A,0.16,1,0.17
0.04,0.34,0.34,0.28,0.15,0.15,0.39,0.12,0.26,0.11,0.25,0.07,N/A,0.24,0.17,1
