1,0.17,0.05,0.16,0.03,0.30,0.30,0.23,0.02,0.10,0.24,N/A,0.16,0.24
0.17,1,0.06,0.08,0.13,0.53,0.33,0.14,-0.01,0.22,0.15,N/A,0.25,0.35
0.05,0.06,1,0.10,0.02,0.19,0.22,0.05,-0.06,0.09,0.07,N/A,0.09,0.18
0.16,0.08,0.10,1,-0.02,0.21,0.18,0.08,-0.05,0.05,0.01,N/A,0.35,0.20
0.03,0.13,0.02,-0.02,1,0.08,0.05,0.03,-0.04,0.05,0.03,N/A,0.04,0.03
0.30,0.53,0.19,0.21,0.08,1,0.66,0.19,0.08,0.31,0.15,N/A,0.53,0.46
0.30,0.33,0.22,0.18,0.05,0.66,1,0.15,0.10,0.29,0.21,N/A,0.32,0.39
0.23,0.14,0.05,0.08,0.03,0.19,0.15,1,0.08,0.03,0.05,N/A,0.12,0.16
0.02,-0.01,-0.06,-0.05,-0.04,0.08,0.10,0.08,1,0.03,0.19,N/A,0.09,0.05
0.10,0.22,0.09,0.05,0.05,0.31,0.29,0.03,0.03,1,0.07,N/A,0.11,0.16
0.24,0.15,0.07,0.01,0.03,0.15,0.21,0.05,0.19,0.07,1,N/A,0.04,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,0.25,0.09,0.35,0.04,0.53,0.32,0.12,0.09,0.11,0.04,N/A,1,0.38
0.24,0.35,0.18,0.20,0.03,0.46,0.39,0.16,0.05,0.16,0.06,N/A,0.38,1
