1,0.11,0.15,0.06,0.15,N/A,0.28,0.08,0.15,0.02,N/A,0.12,0.28,0.03,0.08,0.09
0.11,1,0.27,0.10,0.09,N/A,0.05,0.11,0.12,0.05,N/A,0.13,0.20,0.05,0.09,0.20
0.15,0.27,1,0.10,0.12,N/A,0.12,0.40,0.45,0.07,N/A,0.11,0.29,0.03,0.04,0.19
0.06,0.10,0.10,1,0.09,N/A,0.03,0.09,0.05,0.03,N/A,0.29,0.15,0.26,0.04,0.27
0.15,0.09,0.12,0.09,1,N/A,0.12,0.38,0.09,0.09,N/A,0.15,0.28,0.01,0.03,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.28,0.05,0.12,0.03,0.12,N/A,1,0.18,0.14,0.08,N/A,0.10,0.22,0.07,0.02,0.06
0.08,0.11,0.40,0.09,0.38,N/A,0.18,1,0.19,0.14,N/A,0.15,0.21,-0.00,0.12,0.19
0.15,0.12,0.45,0.05,0.09,N/A,0.14,0.19,1,0.06,N/A,0.27,0.24,0.01,0.04,0.09
0.02,0.05,0.07,0.03,0.09,N/A,0.08,0.14,0.06,1,N/A,0.04,0.03,0.02,0.01,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.13,0.11,0.29,0.15,N/A,0.10,0.15,0.27,0.04,N/A,1,0.21,0.15,0.03,0.12
0.28,0.20,0.29,0.15,0.28,N/A,0.22,0.21,0.24,0.03,N/A,0.21,1,0.07,0.12,0.19
0.03,0.05,0.03,0.26,0.01,N/A,0.07,-0.00,0.01,0.02,N/A,0.15,0.07,1,-0.02,0.00
0.08,0.09,0.04,0.04,0.03,N/A,0.02,0.12,0.04,0.01,N/A,0.03,0.12,-0.02,1,0.18
0.09,0.20,0.19,0.27,0.07,N/A,0.06,0.19,0.09,0.05,N/A,0.12,0.19,0.00,0.18,1
