1,0.28,0.64,0.31,0.15,0.02,0.09,0.18,0.09,0.02,0.10,0.40,0.70,0.17,0.33
0.28,1,0.38,0.33,0.03,0.04,-0.00,0.16,0.06,0.15,0.16,0.49,0.36,0.06,0.05
0.64,0.38,1,0.36,0.22,0.04,0.13,0.26,0.10,0.09,0.18,0.55,0.75,0.18,0.28
0.31,0.33,0.36,1,0.03,0.03,-0.02,0.19,0.04,0.05,0.26,0.37,0.44,0.04,0.08
0.15,0.03,0.22,0.03,1,0.02,-0.04,0.01,0.04,-0.01,0.01,0.09,0.15,-0.08,0.14
0.02,0.04,0.04,0.03,0.02,1,0.02,-0.02,0.02,0.09,0.21,0.04,0.09,-0.07,-0.03
0.09,-0.00,0.13,-0.02,-0.04,0.02,1,-0.01,0.03,0.03,0.03,0.00,0.07,-0.02,-0.08
0.18,0.16,0.26,0.19,0.01,-0.02,-0.01,1,0.03,0.00,0.16,0.22,0.23,0.07,0.08
0.09,0.06,0.10,0.04,0.04,0.02,0.03,0.03,1,-0.01,0.04,0.04,0.07,0.15,0.12
0.02,0.15,0.09,0.05,-0.01,0.09,0.03,0.00,-0.01,1,0.00,0.05,0.12,0.00,0.02
0.10,0.16,0.18,0.26,0.01,0.21,0.03,0.16,0.04,0.00,1,0.17,0.13,0.09,0.04
0.40,0.49,0.55,0.37,0.09,0.04,0.00,0.22,0.04,0.05,0.17,1,0.54,0.11,0.17
0.70,0.36,0.75,0.44,0.15,0.09,0.07,0.23,0.07,0.12,0.13,0.54,1,0.12,0.29
0.17,0.06,0.18,0.04,-0.08,-0.07,-0.02,0.07,0.15,0.00,0.09,0.11,0.12,1,0.36
0.33,0.05,0.28,0.08,0.14,-0.03,-0.08,0.08,0.12,0.02,0.04,0.17,0.29,0.36,1
