1,N/A,0.05,N/A,0.38,0.02,0.55,0.11,0.28,0.26,0.02,0.05,0.31,0.13,0.33,0.39,0.30,0.38,0.41,0.46,0.20,N/A,0.49,0.08,N/A,0.02,0.06,0.13,0.25,0.07,0.01,0.35,0.22,0.25,0.29,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,N/A,1,N/A,0.28,0.03,0.03,0.05,0.02,0.08,0.06,0.34,0.11,-0.00,0.08,0.02,0.01,0.28,0.23,0.05,0.08,N/A,0.15,-0.00,N/A,-0.01,0.26,0.10,0.14,0.04,-0.01,0.42,0.00,-0.02,0.07,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.38,N/A,0.28,N/A,1,0.08,0.30,0.06,0.28,0.20,0.06,0.04,0.27,0.12,0.23,0.19,0.22,1.00,0.77,0.36,0.20,N/A,0.57,-0.09,N/A,0.04,0.16,0.18,0.27,0.12,0.04,0.85,0.17,0.15,0.23,0.13
0.02,N/A,0.03,N/A,0.08,1,0.03,0.05,0.03,0.08,0.03,-0.01,0.16,0.08,0.11,0.06,0.04,0.08,0.11,0.04,0.01,N/A,0.10,-0.00,N/A,0.00,0.09,0.08,0.08,0.05,0.01,0.04,0.09,0.00,0.17,0.11
0.55,N/A,0.03,N/A,0.30,0.03,1,0.10,0.21,0.26,0.15,0.01,0.37,0.22,0.37,0.40,0.38,0.30,0.44,0.30,0.17,N/A,0.49,-0.01,N/A,0.05,0.00,0.15,0.31,0.13,0.09,0.37,0.21,0.15,0.32,0.20
0.11,N/A,0.05,N/A,0.06,0.05,0.10,1,0.10,0.85,-0.03,0.08,0.42,0.15,0.20,0.10,0.11,0.06,0.27,0.49,0.27,N/A,0.21,0.14,N/A,0.02,0.06,0.10,0.39,0.39,0.19,0.09,0.16,0.10,0.29,0.27
0.28,N/A,0.02,N/A,0.28,0.03,0.21,0.10,1,0.19,-0.02,0.00,0.26,0.12,0.16,0.09,0.17,0.28,0.30,0.33,0.19,N/A,0.22,0.01,N/A,-0.01,0.14,0.05,0.26,0.07,0.03,0.21,0.21,0.04,0.23,0.14
0.26,N/A,0.08,N/A,0.20,0.08,0.26,0.85,0.19,1,0.04,0.12,0.72,0.25,0.35,0.28,0.29,0.20,0.57,0.58,0.42,N/A,0.50,0.12,N/A,0.11,0.12,0.14,0.69,0.48,0.27,0.22,0.35,0.26,0.51,0.42
0.02,N/A,0.06,N/A,0.06,0.03,0.15,-0.03,-0.02,0.04,1,0.04,0.12,0.07,0.02,0.11,0.10,0.06,0.12,0.03,0.05,N/A,0.14,0.05,N/A,0.02,-0.06,0.05,0.14,0.01,0.03,0.10,0.09,0.00,0.08,0.05
