1,0.00,0.09,N/A,0.09,0.03,-0.04,N/A,0.05,0.18,0.15,0.00,-0.02,0.10,N/A,0.01,0.00,0.11,N/A,0.14,-0.05,N/A,0.17,0.12,0.01,0.02,0.06,0.19,-0.06,N/A,0.02,0.15,N/A,0.10,N/A,0.14,0.09,0.07,0.09,0.04,0.13,N/A,0.04,-0.05,0.05,N/A,0.19
0.00,1,0.10,N/A,0.16,-0.02,0.07,N/A,0.21,0.16,0.11,0.13,0.12,0.03,N/A,0.17,0.11,0.03,N/A,0.05,0.09,N/A,0.13,0.27,0.01,0.11,0.03,0.15,-0.04,N/A,0.16,0.13,N/A,0.10,N/A,0.04,0.12,-0.00,0.17,0.12,0.10,N/A,0.16,0.06,0.01,N/A,0.11
0.09,0.10,1,N/A,0.15,0.03,0.05,N/A,0.05,0.17,0.24,0.09,0.40,0.02,N/A,0.01,0.14,0.11,N/A,0.07,0.02,N/A,0.03,0.19,0.04,0.06,0.03,0.17,0.01,N/A,0.15,0.19,N/A,0.14,N/A,0.13,0.14,0.08,0.24,0.04,0.45,N/A,0.22,0.16,0.01,N/A,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,0.16,0.15,N/A,1,0.02,0.02,N/A,0.13,0.33,0.20,0.05,0.10,0.05,N/A,0.03,0.03,0.06,N/A,0.18,0.13,N/A,0.31,0.28,0.08,0.22,0.09,0.18,0.08,N/A,0.14,0.16,N/A,0.09,N/A,0.36,0.26,0.07,0.21,0.12,0.18,N/A,0.23,0.43,0.10,N/A,0.14
0.03,-0.02,0.03,N/A,0.02,1,0.01,N/A,0.01,0.04,0.04,0.00,0.03,-0.03,N/A,-0.01,0.01,0.01,N/A,0.04,0.03,N/A,0.06,0.02,0.02,0.02,0.00,-0.01,0.06,N/A,0.03,0.02,N/A,0.06,N/A,-0.03,0.02,0.05,0.07,-0.00,0.32,N/A,-0.00,0.14,-0.03,N/A,0.01
-0.04,0.07,0.05,N/A,0.02,0.01,1,N/A,0.02,0.12,0.10,0.02,-0.02,0.02,N/A,0.02,0.02,-0.01,N/A,0.08,0.01,N/A,0.04,0.09,0.04,0.04,0.01,0.03,0.01,N/A,0.04,0.05,N/A,0.11,N/A,0.04,0.00,-0.01,0.03,0.04,0.06,N/A,-0.02,-0.03,0.09,N/A,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.21,0.05,N/A,0.13,0.01,0.02,N/A,1,0.24,0.20,0.24,0.05,0.03,N/A,0.26,0.53,0.01,N/A,0.10,0.06,N/A,0.14,0.17,0.06,0.13,0.01,0.14,-0.00,N/A,0.06,0.13,N/A,0.03,N/A,0.10,0.07,0.03,0.15,0.07,0.10,N/A,0.06,0.13,0.01,N/A,0.17
0.18,0.16,0.17,N/A,0.33,0.04,0.12,N/A,0.24,1,0.65,0.21,0.08,0.11,N/A,0.10,0.12,0.09,N/A,0.17,0.20,N/A,0.19,0.25,0.07,0.27,0.21,0.27,0.08,N/A,0.25,0.35,N/A,0.30,N/A,0.26,0.15,0.09,0.24,0.10,0.27,N/A,0.10,0.19,0.15,N/A,0.05
0.15,0.11,0.24,N/A,0.20,0.04,0.10,N/A,0.20,0.65,1,0.24,0.14,0.10,N/A,0.12,0.18,0.29,N/A,0.05,0.17,N/A,0.12,0.19,0.05,0.19,0.15,0.26,0.05,N/A,0.21,0.38,N/A,0.28,N/A,0.17,0.11,0.07,0.29,0.14,0.29,N/A,0.15,0.15,0.11,N/A,0.05
0.00,0.13,0.09,N/A,0.05,0.00,0.02,N/A,0.24,0.21,0.24,1,0.05,0.34,N/A,0.07,0.19,0.00,N/A,0.08,0.16,N/A,0.11,0.18,0.40,0.06,0.05,0.22,0.00,N/A,0.09,0.15,N/A,0.07,N/A,0.13,0.08,-0.00,0.25,0.03,0.31,N/A,0.01,0.07,0.10,N/A,0.02
-0.02,0.12,0.40,N/A,0.10,0.03,-0.02,N/A,0.05,0.08,0.14,0.05,1,0.02,N/A,0.05,0.05,0.00,N/A,-0.02,0.00,N/A,0.08,0.21,0.00,0.02,0.07,0.07,0.09,N/A,0.07,0.09,N/A,0.00,N/A,0.14,0.04,0.06,0.00,0.07,0.06,N/A,0.10,0.15,0.01,N/A,0.03
0.10,0.03,0.02,N/A,0.05,-0.03,0.02,N/A,0.03,0.11,0.10,0.34,0.02,1,N/A,-0.01,0.01,-0.03,N/A,0.07,0.25,N/A,0.07,0.07,0.78,0.07,0.06,0.08,0.04,N/A,0.07,0.10,N/A,0.14,N/A,0.07,0.08,0.02,0.22,0.02,0.26,N/A,0.04,0.06,0.20,N/A,-0.03
