1,0.02,0.10,0.26,0.10,0.13,0.07,0.01,0.01,0.06,0.03,N/A,0.01,0.01,0.02,0.08
0.02,1,0.06,0.19,0.16,0.23,0.14,0.09,0.02,0.00,0.66,N/A,0.22,0.01,0.00,0.24
0.10,0.06,1,0.15,0.26,0.34,0.13,0.06,0.24,0.03,0.27,N/A,0.10,0.20,0.03,0.29
0.26,0.19,0.15,1,0.31,0.44,0.26,0.09,0.13,0.01,0.21,N/A,0.10,0.01,0.01,0.36
0.10,0.16,0.26,0.31,1,0.70,0.55,0.21,0.14,0.11,0.21,N/A,0.23,0.05,0.13,0.36
0.13,0.23,0.34,0.44,0.70,1,0.54,0.18,0.20,0.08,0.28,N/A,0.29,0.07,0.07,0.62
0.07,0.14,0.13,0.26,0.55,0.54,1,0.19,0.12,0.01,0.21,N/A,0.33,0.01,0.08,0.33
0.01,0.09,0.06,0.09,0.21,0.18,0.19,1,0.05,0.02,0.07,N/A,0.18,0.02,0.52,0.10
0.01,0.02,0.24,0.13,0.14,0.20,0.12,0.05,1,-0.00,0.11,N/A,0.10,0.00,0.03,0.22
0.06,0.00,0.03,0.01,0.11,0.08,0.01,0.02,-0.00,1,0.01,N/A,0.00,0.00,0.02,0.03
0.03,0.66,0.27,0.21,0.21,0.28,0.21,0.07,0.11,0.01,1,N/A,0.27,0.02,0.01,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.22,0.10,0.10,0.23,0.29,0.33,0.18,0.10,0.00,0.27,N/A,1,0.01,0.01,0.19
0.01,0.01,0.20,0.01,0.05,0.07,0.01,0.02,0.00,0.00,0.02,N/A,0.01,1,0.03,0.03
0.02,0.00,0.03,0.01,0.13,0.07,0.08,0.52,0.03,0.02,0.01,N/A,0.01,0.03,1,0.03
0.08,0.24,0.29,0.36,0.36,0.62,0.33,0.10,0.22,0.03,0.27,N/A,0.19,0.03,0.03,1
