1,0.19,0.05,0.45,0.63,0.13,0.16,0.32,0.34,0.17,0.15,0.09,0.41,0.14,N/A,0.29,0.07,0.01,0.22,0.32,0.12
0.19,1,0.03,0.21,0.25,0.05,0.09,0.13,0.18,0.10,0.17,0.09,0.07,0.07,N/A,0.15,0.00,-0.01,0.15,0.25,0.05
0.05,0.03,1,0.18,0.09,0.01,0.09,0.26,0.30,0.21,0.36,0.06,0.04,0.20,N/A,0.19,0.24,0.15,0.18,0.24,0.07
0.45,0.21,0.18,1,0.38,0.18,0.04,0.35,0.32,0.17,0.33,0.13,0.55,0.17,N/A,0.41,0.15,0.08,0.15,0.18,0.11
0.63,0.25,0.09,0.38,1,0.09,0.08,0.31,0.26,0.21,0.15,0.01,0.23,0.10,N/A,0.32,0.06,0.04,0.30,0.25,0.09
0.13,0.05,0.01,0.18,0.09,1,0.08,0.07,0.10,0.02,0.13,-0.01,0.02,0.06,N/A,0.05,0.02,-0.00,0.09,0.07,0.14
0.16,0.09,0.09,0.04,0.08,0.08,1,0.13,0.18,0.07,0.17,0.03,0.02,0.02,N/A,0.12,0.04,0.08,0.02,0.23,0.14
0.32,0.13,0.26,0.35,0.31,0.07,0.13,1,0.30,0.25,0.35,0.09,0.21,0.46,N/A,0.52,0.11,0.09,0.31,0.29,0.03
0.34,0.18,0.30,0.32,0.26,0.10,0.18,0.30,1,0.18,0.36,0.07,0.17,0.11,N/A,0.16,0.20,0.07,0.15,0.40,0.20
0.17,0.10,0.21,0.17,0.21,0.02,0.07,0.25,0.18,1,0.23,0.10,0.07,0.04,N/A,0.10,0.09,0.09,0.16,0.22,-0.02
0.15,0.17,0.36,0.33,0.15,0.13,0.17,0.35,0.36,0.23,1,0.12,0.11,0.20,N/A,0.29,0.47,0.23,0.19,0.34,0.10
0.09,0.09,0.06,0.13,0.01,-0.01,0.03,0.09,0.07,0.10,0.12,1,0.01,0.14,N/A,0.07,0.02,-0.04,0.15,0.13,0.02
0.41,0.07,0.04,0.55,0.23,0.02,0.02,0.21,0.17,0.07,0.11,0.01,1,0.07,N/A,0.39,0.03,0.02,0.14,0.10,0.01
0.14,0.07,0.20,0.17,0.10,0.06,0.02,0.46,0.11,0.04,0.20,0.14,0.07,1,N/A,0.35,0.11,0.09,0.20,0.16,0.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.29,0.15,0.19,0.41,0.32,0.05,0.12,0.52,0.16,0.10,0.29,0.07,0.39,0.35,N/A,1,0.06,0.04,0.38,0.13,0.02
0.07,0.00,0.24,0.15,0.06,0.02,0.04,0.11,0.20,0.09,0.47,0.02,0.03,0.11,N/A,0.06,1,0.25,0.06,0.13,0.06
0.01,-0.01,0.15,0.08,0.04,-0.00,0.08,0.09,0.07,0.09,0.23,-0.04,0.02,0.09,N/A,0.04,0.25,1,0.04,0.08,0.07
0.22,0.15,0.18,0.15,0.30,0.09,0.02,0.31,0.15,0.16,0.19,0.15,0.14,0.20,N/A,0.38,0.06,0.04,1,0.13,0.06
0.32,0.25,0.24,0.18,0.25,0.07,0.23,0.29,0.40,0.22,0.34,0.13,0.10,0.16,N/A,0.13,0.13,0.08,0.13,1,-0.05
0.12,0.05,0.07,0.11,0.09,0.14,0.14,0.03,0.20,-0.02,0.10,0.02,0.01,0.13,N/A,0.02,0.06,0.07,0.06,-0.05,1
