1,0.67,0.30,0.31,0.20,0.69,0.44,0.66,0.56,0.32,0.70,0.58,0.15,0.38,0.66,0.70,0.60,0.34
0.67,1,0.20,0.41,0.24,0.82,0.43,0.81,0.64,0.27,0.79,0.76,0.21,0.47,0.78,0.75,0.70,0.42
0.30,0.20,1,0.11,-0.01,0.20,0.29,0.23,0.27,0.14,0.26,0.17,0.04,0.06,0.20,0.30,0.21,0.05
0.31,0.41,0.11,1,0.20,0.40,0.23,0.30,0.38,0.19,0.34,0.42,0.01,0.26,0.43,0.40,0.28,0.32
0.20,0.24,-0.01,0.20,1,0.25,0.13,0.20,0.20,0.11,0.23,0.23,0.00,0.23,0.28,0.26,0.20,0.11
0.69,0.82,0.20,0.40,0.25,1,0.45,0.86,0.71,0.36,0.89,0.78,0.25,0.50,0.87,0.85,0.74,0.42
0.44,0.43,0.29,0.23,0.13,0.45,1,0.36,0.40,0.29,0.41,0.41,0.12,0.31,0.42,0.46,0.41,0.18
0.66,0.81,0.23,0.30,0.20,0.86,0.36,1,0.66,0.33,0.90,0.78,0.28,0.39,0.80,0.80,0.81,0.36
0.56,0.64,0.27,0.38,0.20,0.71,0.40,0.66,1,0.20,0.72,0.56,0.17,0.46,0.68,0.72,0.64,0.40
0.32,0.27,0.14,0.19,0.11,0.36,0.29,0.33,0.20,1,0.32,0.27,0.09,0.29,0.36,0.36,0.30,0.15
0.70,0.79,0.26,0.34,0.23,0.89,0.41,0.90,0.72,0.32,1,0.76,0.27,0.45,0.83,0.87,0.78,0.42
0.58,0.76,0.17,0.42,0.23,0.78,0.41,0.78,0.56,0.27,0.76,1,0.23,0.39,0.73,0.73,0.65,0.35
0.15,0.21,0.04,0.01,0.00,0.25,0.12,0.28,0.17,0.09,0.27,0.23,1,0.16,0.20,0.24,0.22,0.12
0.38,0.47,0.06,0.26,0.23,0.50,0.31,0.39,0.46,0.29,0.45,0.39,0.16,1,0.60,0.49,0.38,0.30
0.66,0.78,0.20,0.43,0.28,0.87,0.42,0.80,0.68,0.36,0.83,0.73,0.20,0.60,1,0.83,0.70,0.46
0.70,0.75,0.30,0.40,0.26,0.85,0.46,0.80,0.72,0.36,0.87,0.73,0.24,0.49,0.83,1,0.72,0.41
0.60,0.70,0.21,0.28,0.20,0.74,0.41,0.81,0.64,0.30,0.78,0.65,0.22,0.38,0.70,0.72,1,0.32
0.34,0.42,0.05,0.32,0.11,0.42,0.18,0.36,0.40,0.15,0.42,0.35,0.12,0.30,0.46,0.41,0.32,1
