N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.03,0.19,0.37,N/A,0.03,0.40,0.45,0.44,0.14,0.23,N/A
N/A,N/A,0.03,1,0.07,0.11,N/A,1.00,0.06,0.07,-0.00,0.02,0.47,N/A
N/A,N/A,0.19,0.07,1,0.11,N/A,0.07,0.10,0.17,0.29,-0.05,0.21,N/A
N/A,N/A,0.37,0.11,0.11,1,N/A,0.11,0.41,0.28,0.19,0.11,0.21,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.03,1.00,0.07,0.11,N/A,1,0.06,0.07,-0.00,0.02,0.47,N/A
N/A,N/A,0.40,0.06,0.10,0.41,N/A,0.06,1,0.20,0.41,-0.05,0.17,N/A
N/A,N/A,0.45,0.07,0.17,0.28,N/A,0.07,0.20,1,0.30,0.02,0.34,N/A
N/A,N/A,0.44,-0.00,0.29,0.19,N/A,-0.00,0.41,0.30,1,0.13,0.22,N/A
N/A,N/A,0.14,0.02,-0.05,0.11,N/A,0.02,-0.05,0.02,0.13,1,0.06,N/A
N/A,N/A,0.23,0.47,0.21,0.21,N/A,0.47,0.17,0.34,0.22,0.06,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
