1,0.33,0.46,0.00,0.35,0.06,0.06,0.11,0.30,0.21,0.22,0.56,0.09
0.33,1,0.40,0.15,0.49,0.09,0.15,0.23,0.38,0.34,0.19,0.18,0.39
0.46,0.40,1,0.11,0.41,0.18,0.20,0.40,0.25,0.34,0.17,0.35,0.15
0.00,0.15,0.11,1,0.20,0.06,0.11,0.42,0.00,0.24,0.07,0.08,0.13
0.35,0.49,0.41,0.20,1,0.13,0.19,0.21,0.64,0.28,0.16,0.24,0.21
0.06,0.09,0.18,0.06,0.13,1,0.00,0.04,0.17,-0.01,0.12,0.04,0.03
0.06,0.15,0.20,0.11,0.19,0.00,1,0.29,0.04,0.08,0.09,0.23,0.08
0.11,0.23,0.40,0.42,0.21,0.04,0.29,1,0.08,0.19,0.12,0.18,0.12
0.30,0.38,0.25,0.00,0.64,0.17,0.04,0.08,1,0.32,0.13,0.15,0.15
0.21,0.34,0.34,0.24,0.28,-0.01,0.08,0.19,0.32,1,0.12,0.17,0.30
0.22,0.19,0.17,0.07,0.16,0.12,0.09,0.12,0.13,0.12,1,0.12,0.19
0.56,0.18,0.35,0.08,0.24,0.04,0.23,0.18,0.15,0.17,0.12,1,0.16
0.09,0.39,0.15,0.13,0.21,0.03,0.08,0.12,0.15,0.30,0.19,0.16,1
