1,0.30,0.11,0.05,0.35,0.09,N/A,0.12,0.37,0.04,0.09,0.11,0.03,N/A,0.31,0.12,0.13,0.11,0.10,0.49,0.40,0.13
0.30,1,0.18,0.16,0.30,0.22,N/A,0.19,0.15,0.25,0.11,0.07,0.19,N/A,0.18,0.28,0.26,0.12,0.29,0.52,0.14,0.37
0.11,0.18,1,0.04,0.07,0.23,N/A,-0.02,0.14,0.18,0.09,0.27,0.08,N/A,0.28,0.28,0.13,0.17,0.32,0.12,0.22,0.15
0.05,0.16,0.04,1,0.06,0.22,N/A,-0.08,0.14,0.07,0.12,0.15,0.09,N/A,0.34,0.21,0.12,0.51,0.28,0.12,0.09,0.15
0.35,0.30,0.07,0.06,1,0.12,N/A,0.07,0.20,0.21,0.41,0.17,0.12,N/A,0.14,0.15,0.22,0.05,0.24,0.34,0.11,0.25
0.09,0.22,0.23,0.22,0.12,1,N/A,0.19,0.22,0.25,0.25,0.07,0.12,N/A,0.13,0.26,0.11,0.20,0.08,0.20,0.04,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.19,-0.02,-0.08,0.07,0.19,N/A,1,0.11,0.23,0.17,-0.02,-0.03,N/A,0.06,0.20,0.09,-0.08,0.06,0.27,0.05,0.20
0.37,0.15,0.14,0.14,0.20,0.22,N/A,0.11,1,0.12,0.06,0.09,0.18,N/A,0.29,0.14,0.13,0.29,0.11,0.29,0.18,0.24
0.04,0.25,0.18,0.07,0.21,0.25,N/A,0.23,0.12,1,0.20,0.20,0.03,N/A,0.28,0.19,0.22,0.02,0.24,0.26,0.10,0.21
0.09,0.11,0.09,0.12,0.41,0.25,N/A,0.17,0.06,0.20,1,0.07,0.10,N/A,0.26,0.06,0.10,0.06,0.16,0.17,0.13,0.06
0.11,0.07,0.27,0.15,0.17,0.07,N/A,-0.02,0.09,0.20,0.07,1,0.08,N/A,0.36,0.15,0.41,0.24,0.29,0.08,0.12,0.05
0.03,0.19,0.08,0.09,0.12,0.12,N/A,-0.03,0.18,0.03,0.10,0.08,1,N/A,0.10,0.06,0.05,0.02,0.08,0.03,0.02,0.33
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.31,0.18,0.28,0.34,0.14,0.13,N/A,0.06,0.29,0.28,0.26,0.36,0.10,N/A,1,0.11,0.20,0.35,0.49,0.21,0.29,0.15
0.12,0.28,0.28,0.21,0.15,0.26,N/A,0.20,0.14,0.19,0.06,0.15,0.06,N/A,0.11,1,0.18,0.17,0.13,0.18,0.03,0.22
0.13,0.26,0.13,0.12,0.22,0.11,N/A,0.09,0.13,0.22,0.10,0.41,0.05,N/A,0.20,0.18,1,0.18,0.37,0.19,0.36,0.20
0.11,0.12,0.17,0.51,0.05,0.20,N/A,-0.08,0.29,0.02,0.06,0.24,0.02,N/A,0.35,0.17,0.18,1,0.14,0.17,0.23,0.12
0.10,0.29,0.32,0.28,0.24,0.08,N/A,0.06,0.11,0.24,0.16,0.29,0.08,N/A,0.49,0.13,0.37,0.14,1,0.21,0.22,0.32
0.49,0.52,0.12,0.12,0.34,0.20,N/A,0.27,0.29,0.26,0.17,0.08,0.03,N/A,0.21,0.18,0.19,0.17,0.21,1,0.15,0.20
0.40,0.14,0.22,0.09,0.11,0.04,N/A,0.05,0.18,0.10,0.13,0.12,0.02,N/A,0.29,0.03,0.36,0.23,0.22,0.15,1,0.11
0.13,0.37,0.15,0.15,0.25,0.27,N/A,0.20,0.24,0.21,0.06,0.05,0.33,N/A,0.15,0.22,0.20,0.12,0.32,0.20,0.11,1
