1,0.16,0.43,0.16,0.34,0.10,0.55,-0.00,N/A,0.27,0.47,0.16,0.15,0.23,0.11
0.16,1,0.05,0.12,0.08,0.47,0.24,0.18,N/A,0.17,0.10,0.04,0.15,0.14,0.23
0.43,0.05,1,0.13,0.26,0.06,0.28,-0.02,N/A,0.29,0.35,0.15,0.14,0.31,0.00
0.16,0.12,0.13,1,0.19,0.07,0.10,0.05,N/A,-0.02,0.09,0.12,0.08,-0.00,0.09
0.34,0.08,0.26,0.19,1,0.10,0.44,-0.13,N/A,0.41,0.31,-0.02,0.38,0.21,0.09
0.10,0.47,0.06,0.07,0.10,1,0.22,0.10,N/A,0.18,0.11,0.14,0.24,0.03,0.05
0.55,0.24,0.28,0.10,0.44,0.22,1,0.03,N/A,0.41,0.55,0.08,0.22,0.10,0.15
-0.00,0.18,-0.02,0.05,-0.13,0.10,0.03,1,N/A,-0.06,0.01,0.20,0.02,-0.02,-0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.27,0.17,0.29,-0.02,0.41,0.18,0.41,-0.06,N/A,1,0.38,-0.02,0.59,0.30,0.10
0.47,0.10,0.35,0.09,0.31,0.11,0.55,0.01,N/A,0.38,1,0.18,0.23,0.17,0.12
0.16,0.04,0.15,0.12,-0.02,0.14,0.08,0.20,N/A,-0.02,0.18,1,0.11,-0.05,0.08
0.15,0.15,0.14,0.08,0.38,0.24,0.22,0.02,N/A,0.59,0.23,0.11,1,0.21,0.11
0.23,0.14,0.31,-0.00,0.21,0.03,0.10,-0.02,N/A,0.30,0.17,-0.05,0.21,1,0.02
0.11,0.23,0.00,0.09,0.09,0.05,0.15,-0.11,N/A,0.10,0.12,0.08,0.11,0.02,1
