N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.09,0.15,N/A,0.31,0.15,0.13,0.35,0.16,0.16,0.34,0.22,N/A,-0.09
N/A,N/A,0.09,1,0.10,N/A,0.16,0.37,0.05,0.16,0.45,0.20,0.21,0.32,N/A,-0.00
N/A,N/A,0.15,0.10,1,N/A,0.36,0.26,0.09,0.44,0.06,0.23,0.34,0.34,N/A,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.31,0.16,0.36,N/A,1,0.46,0.40,0.41,0.17,0.19,0.22,0.39,N/A,0.16
N/A,N/A,0.15,0.37,0.26,N/A,0.46,1,0.16,0.61,0.34,0.33,0.26,0.47,N/A,0.31
N/A,N/A,0.13,0.05,0.09,N/A,0.40,0.16,1,0.07,0.16,0.30,0.05,0.15,N/A,0.27
N/A,N/A,0.35,0.16,0.44,N/A,0.41,0.61,0.07,1,0.21,0.33,0.39,0.49,N/A,0.19
N/A,N/A,0.16,0.45,0.06,N/A,0.17,0.34,0.16,0.21,1,0.26,0.22,0.22,N/A,0.13
N/A,N/A,0.16,0.20,0.23,N/A,0.19,0.33,0.30,0.33,0.26,1,0.20,0.36,N/A,0.10
N/A,N/A,0.34,0.21,0.34,N/A,0.22,0.26,0.05,0.39,0.22,0.20,1,0.28,N/A,0.03
N/A,N/A,0.22,0.32,0.34,N/A,0.39,0.47,0.15,0.49,0.22,0.36,0.28,1,N/A,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,-0.09,-0.00,-0.04,N/A,0.16,0.31,0.27,0.19,0.13,0.10,0.03,0.06,N/A,1
