1,0.05,0.26,0.19,0.09,-0.04,0.23,0.02,-0.00,-0.13,0.12
0.05,1,0.47,0.21,0.34,0.31,0.51,0.19,0.09,0.02,0.75
0.26,0.47,1,0.52,0.26,0.41,0.86,0.18,0.09,0.15,0.53
0.19,0.21,0.52,1,0.24,0.19,0.47,0.01,0.10,0.09,0.21
0.09,0.34,0.26,0.24,1,0.03,0.23,0.04,-0.03,-0.01,0.38
-0.04,0.31,0.41,0.19,0.03,1,0.52,0.05,0.20,0.03,0.27
0.23,0.51,0.86,0.47,0.23,0.52,1,0.17,0.13,0.09,0.52
0.02,0.19,0.18,0.01,0.04,0.05,0.17,1,0.05,0.08,0.11
-0.00,0.09,0.09,0.10,-0.03,0.20,0.13,0.05,1,-0.08,0.05
-0.13,0.02,0.15,0.09,-0.01,0.03,0.09,0.08,-0.08,1,0.09
0.12,0.75,0.53,0.21,0.38,0.27,0.52,0.11,0.05,0.09,1
