1,0.24,0.19,0.25,N/A,0.15,0.09,0.36,0.40,0.27,0.31,0.42,0.45,0.20,0.46,N/A,0.16,0.19,N/A,0.34,0.88,0.41,0.27,0.41,0.48,0.36,0.08,0.33
0.24,1,-0.00,0.39,N/A,-0.01,0.01,0.01,0.10,-0.06,0.56,0.24,0.22,-0.08,0.08,N/A,-0.13,0.13,N/A,0.35,0.49,0.12,0.19,0.11,-0.07,0.01,0.02,-0.04
0.19,-0.00,1,0.01,N/A,0.18,0.01,0.11,0.25,0.01,0.12,0.20,0.24,0.05,0.22,N/A,0.08,0.72,N/A,0.03,0.18,0.12,0.20,0.17,0.13,0.11,0.10,0.07
0.25,0.39,0.01,1,N/A,-0.03,0.01,0.21,0.33,0.02,0.51,0.35,0.22,0.02,0.29,N/A,-0.03,0.09,N/A,0.15,0.41,0.13,0.25,0.30,0.22,0.21,0.12,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.15,-0.01,0.18,-0.03,N/A,1,-0.01,0.02,0.18,0.11,-0.00,0.03,0.13,0.12,0.12,N/A,0.01,0.14,N/A,-0.10,0.07,0.21,0.14,0.04,0.06,0.02,0.09,0.02
0.09,0.01,0.01,0.01,N/A,-0.01,1,0.02,0.01,0.23,0.02,0.07,-0.02,0.06,-0.04,N/A,-0.03,-0.02,N/A,0.07,0.06,0.03,0.01,0.09,-0.04,0.02,-0.12,-0.06
0.36,0.01,0.11,0.21,N/A,0.02,0.02,1,0.31,0.22,0.18,0.20,0.49,0.24,0.33,N/A,0.20,0.06,N/A,0.16,0.29,0.36,0.32,0.33,0.39,1.00,-0.01,0.17
0.40,0.10,0.25,0.33,N/A,0.18,0.01,0.31,1,0.19,0.19,0.51,0.32,0.39,0.73,N/A,0.01,0.18,N/A,0.12,0.34,0.32,0.36,0.31,0.51,0.31,0.41,0.42
0.27,-0.06,0.01,0.02,N/A,0.11,0.23,0.22,0.19,1,0.12,0.15,0.15,0.22,0.19,N/A,0.09,-0.03,N/A,0.07,0.20,0.18,0.48,0.55,0.10,0.22,0.03,0.06
0.31,0.56,0.12,0.51,N/A,-0.00,0.02,0.18,0.19,0.12,1,0.35,0.32,0.09,0.14,N/A,0.11,0.16,N/A,0.15,0.49,0.20,0.19,0.26,0.10,0.18,-0.05,-0.01
0.42,0.24,0.20,0.35,N/A,0.03,0.07,0.20,0.51,0.15,0.35,1,0.29,0.38,0.49,N/A,-0.02,0.06,N/A,0.68,0.42,0.14,0.30,0.31,0.23,0.20,0.20,0.22
0.45,0.22,0.24,0.22,N/A,0.13,-0.02,0.49,0.32,0.15,0.32,0.29,1,0.13,0.37,N/A,0.07,0.25,N/A,0.22,0.46,0.48,0.38,0.43,0.28,0.49,0.03,0.02
0.20,-0.08,0.05,0.02,N/A,0.12,0.06,0.24,0.39,0.22,0.09,0.38,0.13,1,0.47,N/A,-0.05,-0.01,N/A,0.03,0.19,0.10,0.17,0.05,0.20,0.24,0.17,0.20
0.46,0.08,0.22,0.29,N/A,0.12,-0.04,0.33,0.73,0.19,0.14,0.49,0.37,0.47,1,N/A,0.06,0.14,N/A,0.13,0.41,0.36,0.34,0.30,0.59,0.33,0.42,0.40
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,-0.13,0.08,-0.03,N/A,0.01,-0.03,0.20,0.01,0.09,0.11,-0.02,0.07,-0.05,0.06,N/A,1,0.09,N/A,-0.07,0.14,0.09,0.21,0.19,0.16,0.20,-0.04,0.07
0.19,0.13,0.72,0.09,N/A,0.14,-0.02,0.06,0.18,-0.03,0.16,0.06,0.25,-0.01,0.14,N/A,0.09,1,N/A,0.03,0.24,0.08,0.18,0.13,0.09,0.06,0.16,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.34,0.35,0.03,0.15,N/A,-0.10,0.07,0.16,0.12,0.07,0.15,0.68,0.22,0.03,0.13,N/A,-0.07,0.03,N/A,1,0.38,0.06,0.11,0.20,0.03,0.16,-0.00,0.02
0.88,0.49,0.18,0.41,N/A,0.07,0.06,0.29,0.34,0.20,0.49,0.42,0.46,0.19,0.41,N/A,0.14,0.24,N/A,0.38,1,0.31,0.25,0.37,0.40,0.29,0.03,0.29
0.41,0.12,0.12,0.13,N/A,0.21,0.03,0.36,0.32,0.18,0.20,0.14,0.48,0.10,0.36,N/A,0.09,0.08,N/A,0.06,0.31,1,0.28,0.25,0.28,0.36,0.07,0.18
0.27,0.19,0.20,0.25,N/A,0.14,0.01,0.32,0.36,0.48,0.19,0.30,0.38,0.17,0.34,N/A,0.21,0.18,N/A,0.11,0.25,0.28,1,0.68,0.17,0.32,0.24,0.07
0.41,0.11,0.17,0.30,N/A,0.04,0.09,0.33,0.31,0.55,0.26,0.31,0.43,0.05,0.30,N/A,0.19,0.13,N/A,0.20,0.37,0.25,0.68,1,0.27,0.33,0.04,0.10
0.48,-0.07,0.13,0.22,N/A,0.06,-0.04,0.39,0.51,0.10,0.10,0.23,0.28,0.20,0.59,N/A,0.16,0.09,N/A,0.03,0.40,0.28,0.17,0.27,1,0.39,0.12,0.73
0.36,0.01,0.11,0.21,N/A,0.02,0.02,1.00,0.31,0.22,0.18,0.20,0.49,0.24,0.33,N/A,0.20,0.06,N/A,0.16,0.29,0.36,0.32,0.33,0.39,1,-0.01,0.17
0.08,0.02,0.10,0.12,N/A,0.09,-0.12,-0.01,0.41,0.03,-0.05,0.20,0.03,0.17,0.42,N/A,-0.04,0.16,N/A,-0.00,0.03,0.07,0.24,0.04,0.12,-0.01,1,0.05
0.33,-0.04,0.07,0.14,N/A,0.02,-0.06,0.17,0.42,0.06,-0.01,0.22,0.02,0.20,0.40,N/A,0.07,0.05,N/A,0.02,0.29,0.18,0.07,0.10,0.73,0.17,0.05,1
