1,-0.07,0.06,N/A,0.26,0.26,0.04,N/A,0.30,N/A,N/A,0.17,0.04,N/A,0.02,0.19
-0.07,1,0.04,N/A,0.18,0.18,0.37,N/A,0.16,N/A,N/A,0.15,0.33,N/A,-0.03,0.09
0.06,0.04,1,N/A,0.16,0.16,0.07,N/A,0.08,N/A,N/A,0.04,0.07,N/A,0.12,-0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.18,0.16,N/A,1,1.00,0.05,N/A,0.02,N/A,N/A,0.18,0.16,N/A,0.33,0.23
0.26,0.18,0.16,N/A,1.00,1,0.05,N/A,0.02,N/A,N/A,0.18,0.16,N/A,0.33,0.23
0.04,0.37,0.07,N/A,0.05,0.05,1,N/A,0.17,N/A,N/A,0.14,0.08,N/A,0.03,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.30,0.16,0.08,N/A,0.02,0.02,0.17,N/A,1,N/A,N/A,0.06,-0.05,N/A,0.02,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.15,0.04,N/A,0.18,0.18,0.14,N/A,0.06,N/A,N/A,1,0.17,N/A,0.20,0.14
0.04,0.33,0.07,N/A,0.16,0.16,0.08,N/A,-0.05,N/A,N/A,0.17,1,N/A,0.07,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,-0.03,0.12,N/A,0.33,0.33,0.03,N/A,0.02,N/A,N/A,0.20,0.07,N/A,1,0.02
0.19,0.09,-0.06,N/A,0.23,0.23,0.12,N/A,-0.01,N/A,N/A,0.14,0.27,N/A,0.02,1
