1,0.03,N/A,0.03,0.09,0.09,0.05,0.13,0.01,0.06,0.09,0.06,0.36,0.11,0.05
0.03,1,N/A,0.38,0.22,0.21,0.42,0.31,0.30,0.18,0.29,0.33,0.50,0.26,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.38,N/A,1,0.37,0.42,0.29,0.34,0.21,0.23,0.26,0.31,0.41,0.21,0.15
0.09,0.22,N/A,0.37,1,0.36,0.15,0.34,0.43,0.05,0.06,0.36,0.23,0.30,0.03
0.09,0.21,N/A,0.42,0.36,1,0.27,0.18,0.29,0.18,-0.03,0.18,0.24,0.22,0.12
0.05,0.42,N/A,0.29,0.15,0.27,1,0.19,0.07,0.16,0.06,0.10,0.43,0.03,-0.03
0.13,0.31,N/A,0.34,0.34,0.18,0.19,1,0.28,0.06,0.03,0.46,0.22,0.31,-0.04
0.01,0.30,N/A,0.21,0.43,0.29,0.07,0.28,1,-0.04,0.04,0.31,0.21,0.33,0.21
0.06,0.18,N/A,0.23,0.05,0.18,0.16,0.06,-0.04,1,0.12,0.14,0.26,0.05,0.03
0.09,0.29,N/A,0.26,0.06,-0.03,0.06,0.03,0.04,0.12,1,0.01,0.22,0.05,0.15
0.06,0.33,N/A,0.31,0.36,0.18,0.10,0.46,0.31,0.14,0.01,1,0.30,0.32,0.07
0.36,0.50,N/A,0.41,0.23,0.24,0.43,0.22,0.21,0.26,0.22,0.30,1,0.29,0.22
0.11,0.26,N/A,0.21,0.30,0.22,0.03,0.31,0.33,0.05,0.05,0.32,0.29,1,0.35
0.05,0.15,N/A,0.15,0.03,0.12,-0.03,-0.04,0.21,0.03,0.15,0.07,0.22,0.35,1
