1,0.50,0.35,0.42,0.35,0.22,0.37,0.16,0.26,0.11,0.04,0.01,0.12,0.37,0.07,0.43,0.42,0.36
0.50,1,0.31,0.31,0.43,0.36,0.26,0.25,0.21,0.04,0.04,0.15,0.13,0.37,0.21,0.19,0.34,0.33
0.35,0.31,1,0.36,0.24,0.20,0.36,0.01,0.22,0.17,0.04,0.15,0.16,0.33,0.75,0.39,0.22,0.29
0.42,0.31,0.36,1,0.42,0.22,0.42,0.21,0.30,0.05,0.19,0.31,0.22,0.44,0.17,0.32,0.33,0.50
0.35,0.43,0.24,0.42,1,0.25,0.56,0.22,0.33,0.05,0.19,0.23,0.19,0.26,0.11,0.25,0.38,0.52
0.22,0.36,0.20,0.22,0.25,1,0.32,0.03,0.30,0.08,0.03,0.01,0.22,0.46,0.05,0.22,0.18,0.31
0.37,0.26,0.36,0.42,0.56,0.32,1,0.12,0.27,0.18,0.10,0.14,0.29,0.33,0.13,0.49,0.37,0.73
0.16,0.25,0.01,0.21,0.22,0.03,0.12,1,0.08,-0.05,0.13,0.05,0.02,0.13,0.05,-0.02,0.12,0.26
0.26,0.21,0.22,0.30,0.33,0.30,0.27,0.08,1,0.12,0.07,0.13,0.40,0.32,0.16,0.45,0.29,0.43
0.11,0.04,0.17,0.05,0.05,0.08,0.18,-0.05,0.12,1,-0.03,0.03,0.02,0.17,0.10,0.23,0.31,0.21
0.04,0.04,0.04,0.19,0.19,0.03,0.10,0.13,0.07,-0.03,1,0.02,0.15,0.11,0.07,0.05,0.03,0.14
0.01,0.15,0.15,0.31,0.23,0.01,0.14,0.05,0.13,0.03,0.02,1,0.17,0.16,0.05,0.09,0.15,0.22
0.12,0.13,0.16,0.22,0.19,0.22,0.29,0.02,0.40,0.02,0.15,0.17,1,0.14,0.07,0.30,0.15,0.28
0.37,0.37,0.33,0.44,0.26,0.46,0.33,0.13,0.32,0.17,0.11,0.16,0.14,1,0.05,0.44,0.39,0.50
0.07,0.21,0.75,0.17,0.11,0.05,0.13,0.05,0.16,0.10,0.07,0.05,0.07,0.05,1,0.10,-0.05,0.11
0.43,0.19,0.39,0.32,0.25,0.22,0.49,-0.02,0.45,0.23,0.05,0.09,0.30,0.44,0.10,1,0.33,0.49
0.42,0.34,0.22,0.33,0.38,0.18,0.37,0.12,0.29,0.31,0.03,0.15,0.15,0.39,-0.05,0.33,1,0.52
0.36,0.33,0.29,0.50,0.52,0.31,0.73,0.26,0.43,0.21,0.14,0.22,0.28,0.50,0.11,0.49,0.52,1
