1,0.24,0.05,0.19,0.32,0.25,N/A,0.25,0.23,0.32,0.46,0.46,0.13,0.07,0.29,0.04
0.24,1,0.30,-0.05,0.36,0.29,N/A,0.14,0.37,0.48,0.13,0.35,0.25,0.40,0.25,0.21
0.05,0.30,1,0.03,0.20,0.02,N/A,0.32,0.17,0.40,-0.01,0.24,0.24,0.30,0.14,0.16
0.19,-0.05,0.03,1,-0.00,0.03,N/A,0.17,0.15,0.01,0.40,0.30,0.04,-0.10,-0.02,0.09
0.32,0.36,0.20,-0.00,1,0.23,N/A,0.24,0.23,0.38,0.17,0.28,0.34,0.21,0.45,0.21
0.25,0.29,0.02,0.03,0.23,1,N/A,0.16,0.28,0.36,0.14,0.30,0.21,-0.01,0.32,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.25,0.14,0.32,0.17,0.24,0.16,N/A,1,0.27,0.15,0.17,0.40,0.31,0.12,0.15,0.37
0.23,0.37,0.17,0.15,0.23,0.28,N/A,0.27,1,0.31,0.27,0.40,0.21,0.19,0.19,0.02
0.32,0.48,0.40,0.01,0.38,0.36,N/A,0.15,0.31,1,0.10,0.32,0.23,0.21,0.32,0.25
0.46,0.13,-0.01,0.40,0.17,0.14,N/A,0.17,0.27,0.10,1,0.38,0.11,0.04,0.17,-0.01
0.46,0.35,0.24,0.30,0.28,0.30,N/A,0.40,0.40,0.32,0.38,1,0.36,0.13,0.23,0.17
0.13,0.25,0.24,0.04,0.34,0.21,N/A,0.31,0.21,0.23,0.11,0.36,1,0.41,0.22,0.35
0.07,0.40,0.30,-0.10,0.21,-0.01,N/A,0.12,0.19,0.21,0.04,0.13,0.41,1,0.00,0.20
0.29,0.25,0.14,-0.02,0.45,0.32,N/A,0.15,0.19,0.32,0.17,0.23,0.22,0.00,1,-0.01
0.04,0.21,0.16,0.09,0.21,0.05,N/A,0.37,0.02,0.25,-0.01,0.17,0.35,0.20,-0.01,1
