1,0.21,0.04,0.18,N/A,0.52,0.13,0.20,N/A,N/A,0.21,0.11,0.04,0.14,0.19,0.27,0.22,0.18,0.31
0.21,1,0.01,0.46,N/A,0.12,0.30,0.39,N/A,N/A,0.10,0.23,0.04,0.33,0.14,0.51,0.16,0.47,0.41
0.04,0.01,1,0.02,N/A,0.11,-0.12,0.05,N/A,N/A,0.14,0.01,-0.00,0.03,-0.06,-0.03,0.14,-0.00,0.12
0.18,0.46,0.02,1,N/A,0.41,0.31,0.47,N/A,N/A,0.22,0.16,0.23,0.43,0.39,0.30,0.48,0.36,0.57
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.52,0.12,0.11,0.41,N/A,1,0.28,0.20,N/A,N/A,0.26,0.10,0.20,0.28,0.15,0.17,0.50,0.18,0.37
0.13,0.30,-0.12,0.31,N/A,0.28,1,0.25,N/A,N/A,0.24,0.05,0.22,0.28,0.31,0.23,0.25,0.22,0.13
0.20,0.39,0.05,0.47,N/A,0.20,0.25,1,N/A,N/A,0.30,0.12,0.13,0.28,0.34,0.32,0.37,0.37,0.45
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,0.10,0.14,0.22,N/A,0.26,0.24,0.30,N/A,N/A,1,0.12,0.11,0.15,0.03,0.14,0.37,0.18,0.33
0.11,0.23,0.01,0.16,N/A,0.10,0.05,0.12,N/A,N/A,0.12,1,0.01,0.19,0.12,0.36,0.04,0.18,0.11
0.04,0.04,-0.00,0.23,N/A,0.20,0.22,0.13,N/A,N/A,0.11,0.01,1,0.33,0.13,0.04,0.15,0.20,0.05
0.14,0.33,0.03,0.43,N/A,0.28,0.28,0.28,N/A,N/A,0.15,0.19,0.33,1,0.31,0.34,0.33,0.51,0.26
0.19,0.14,-0.06,0.39,N/A,0.15,0.31,0.34,N/A,N/A,0.03,0.12,0.13,0.31,1,0.07,0.46,0.24,0.13
0.27,0.51,-0.03,0.30,N/A,0.17,0.23,0.32,N/A,N/A,0.14,0.36,0.04,0.34,0.07,1,0.08,0.32,0.17
0.22,0.16,0.14,0.48,N/A,0.50,0.25,0.37,N/A,N/A,0.37,0.04,0.15,0.33,0.46,0.08,1,0.20,0.42
0.18,0.47,-0.00,0.36,N/A,0.18,0.22,0.37,N/A,N/A,0.18,0.18,0.20,0.51,0.24,0.32,0.20,1,0.32
0.31,0.41,0.12,0.57,N/A,0.37,0.13,0.45,N/A,N/A,0.33,0.11,0.05,0.26,0.13,0.17,0.42,0.32,1
