1,0.10,0.59,0.15,0.17,0.15,0.12,0.12,0.13,0.07,0.46,N/A,0.02,0.38,0.72,0.34,0.22,0.13
0.10,1,0.19,0.21,0.11,0.11,0.66,0.05,0.13,0.09,0.10,N/A,0.27,0.19,0.05,0.31,0.07,0.10
0.59,0.19,1,0.19,0.25,0.16,0.18,-0.02,0.23,0.08,0.38,N/A,0.19,0.29,0.56,0.35,0.19,0.10
0.15,0.21,0.19,1,0.14,0.13,0.24,-0.01,0.40,0.12,0.09,N/A,0.52,0.26,0.04,0.12,0.03,0.06
0.17,0.11,0.25,0.14,1,0.02,0.04,0.03,0.25,-0.03,0.02,N/A,0.05,0.14,0.13,0.25,0.11,0.16
0.15,0.11,0.16,0.13,0.02,1,0.17,0.41,0.10,0.21,0.45,N/A,0.16,0.02,0.29,0.32,0.24,0.12
0.12,0.66,0.18,0.24,0.04,0.17,1,0.08,0.25,0.12,0.23,N/A,0.24,0.29,0.08,0.11,0.07,0.04
0.12,0.05,-0.02,-0.01,0.03,0.41,0.08,1,-0.04,0.11,0.14,N/A,-0.03,0.03,0.07,0.21,0.20,0.07
0.13,0.13,0.23,0.40,0.25,0.10,0.25,-0.04,1,0.08,0.20,N/A,0.34,0.25,0.04,0.22,0.26,0.16
0.07,0.09,0.08,0.12,-0.03,0.21,0.12,0.11,0.08,1,0.15,N/A,0.11,0.07,0.05,0.28,0.18,0.37
0.46,0.10,0.38,0.09,0.02,0.45,0.23,0.14,0.20,0.15,1,N/A,0.10,0.20,0.37,0.30,0.38,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.27,0.19,0.52,0.05,0.16,0.24,-0.03,0.34,0.11,0.10,N/A,1,0.15,0.05,0.21,0.18,0.06
0.38,0.19,0.29,0.26,0.14,0.02,0.29,0.03,0.25,0.07,0.20,N/A,0.15,1,0.29,0.10,0.18,0.01
0.72,0.05,0.56,0.04,0.13,0.29,0.08,0.07,0.04,0.05,0.37,N/A,0.05,0.29,1,0.28,0.27,0.08
0.34,0.31,0.35,0.12,0.25,0.32,0.11,0.21,0.22,0.28,0.30,N/A,0.21,0.10,0.28,1,0.41,0.45
0.22,0.07,0.19,0.03,0.11,0.24,0.07,0.20,0.26,0.18,0.38,N/A,0.18,0.18,0.27,0.41,1,0.24
0.13,0.10,0.10,0.06,0.16,0.12,0.04,0.07,0.16,0.37,0.11,N/A,0.06,0.01,0.08,0.45,0.24,1
