1,0.07,0.15,0.09,0.01,0.07,-0.01,0.18,0.28,0.34,0.18,0.17,0.18,0.08,0.12,0.01,0.16,0.14,0.06,0.11,0.08
0.07,1,0.15,0.08,0.04,0.10,0.12,-0.09,0.24,0.08,0.04,0.01,0.45,0.07,-0.02,0.16,0.03,0.02,0.25,-0.04,0.16
0.15,0.15,1,0.09,0.24,-0.04,0.19,0.10,0.12,0.30,0.14,0.20,0.21,0.13,0.17,-0.01,0.01,0.23,0.14,0.00,0.16
0.09,0.08,0.09,1,0.12,0.75,0.05,0.23,0.24,0.11,0.13,0.07,0.08,-0.01,0.04,0.16,0.03,0.06,-0.01,0.63,0.06
0.01,0.04,0.24,0.12,1,0.02,0.20,0.11,0.11,0.15,0.33,0.02,0.25,-0.01,0.06,0.00,-0.03,0.09,0.07,0.05,0.04
0.07,0.10,-0.04,0.75,0.02,1,-0.00,0.09,0.18,0.14,0.13,0.01,0.11,0.08,0.02,0.06,0.19,0.02,0.03,0.73,0.06
-0.01,0.12,0.19,0.05,0.20,-0.00,1,-0.04,0.18,0.16,0.02,0.03,0.29,0.11,0.11,0.04,0.03,-0.00,0.01,0.15,0.19
0.18,-0.09,0.10,0.23,0.11,0.09,-0.04,1,0.12,-0.06,-0.11,0.02,0.00,-0.02,0.05,-0.03,-0.12,-0.10,-0.04,0.13,-0.04
0.28,0.24,0.12,0.24,0.11,0.18,0.18,0.12,1,0.20,0.20,0.15,0.48,0.09,0.04,0.12,0.33,0.10,0.04,0.22,0.07
0.34,0.08,0.30,0.11,0.15,0.14,0.16,-0.06,0.20,1,0.15,0.01,0.20,0.22,0.19,-0.00,0.17,0.15,0.13,0.16,0.18
0.18,0.04,0.14,0.13,0.33,0.13,0.02,-0.11,0.20,0.15,1,0.14,0.17,0.05,0.05,0.12,0.25,0.18,0.01,0.09,0.04
0.17,0.01,0.20,0.07,0.02,0.01,0.03,0.02,0.15,0.01,0.14,1,0.09,0.13,-0.14,-0.01,0.06,0.16,0.28,0.00,0.06
0.18,0.45,0.21,0.08,0.25,0.11,0.29,0.00,0.48,0.20,0.17,0.09,1,0.23,0.04,0.24,0.15,0.03,0.21,0.06,0.15
0.08,0.07,0.13,-0.01,-0.01,0.08,0.11,-0.02,0.09,0.22,0.05,0.13,0.23,1,0.05,0.06,0.25,0.30,0.13,0.11,0.13
0.12,-0.02,0.17,0.04,0.06,0.02,0.11,0.05,0.04,0.19,0.05,-0.14,0.04,0.05,1,0.06,-0.01,-0.01,-0.09,0.08,0.20
0.01,0.16,-0.01,0.16,0.00,0.06,0.04,-0.03,0.12,-0.00,0.12,-0.01,0.24,0.06,0.06,1,0.02,0.04,0.13,0.08,0.01
0.16,0.03,0.01,0.03,-0.03,0.19,0.03,-0.12,0.33,0.17,0.25,0.06,0.15,0.25,-0.01,0.02,1,0.07,0.03,0.16,0.04
0.14,0.02,0.23,0.06,0.09,0.02,-0.00,-0.10,0.10,0.15,0.18,0.16,0.03,0.30,-0.01,0.04,0.07,1,0.02,0.06,0.03
0.06,0.25,0.14,-0.01,0.07,0.03,0.01,-0.04,0.04,0.13,0.01,0.28,0.21,0.13,-0.09,0.13,0.03,0.02,1,-0.07,0.06
0.11,-0.04,0.00,0.63,0.05,0.73,0.15,0.13,0.22,0.16,0.09,0.00,0.06,0.11,0.08,0.08,0.16,0.06,-0.07,1,0.08
0.08,0.16,0.16,0.06,0.04,0.06,0.19,-0.04,0.07,0.18,0.04,0.06,0.15,0.13,0.20,0.01,0.04,0.03,0.06,0.08,1
