1,0.29,0.07,0.30,0.34,0.14,0.19,0.15,0.20,0.17,0.02,0.16
0.29,1,0.21,0.18,0.10,0.02,0.30,-0.03,0.22,0.09,0.00,0.07
0.07,0.21,1,0.08,0.08,0.08,0.19,0.11,0.02,0.02,-0.02,0.04
0.30,0.18,0.08,1,0.35,0.32,0.17,0.21,0.33,0.27,0.11,0.12
0.34,0.10,0.08,0.35,1,0.45,0.31,0.27,0.29,0.35,0.15,0.46
0.14,0.02,0.08,0.32,0.45,1,0.22,0.35,0.26,0.09,0.05,0.22
0.19,0.30,0.19,0.17,0.31,0.22,1,0.01,0.31,0.31,0.39,0.32
0.15,-0.03,0.11,0.21,0.27,0.35,0.01,1,0.03,0.05,0.06,0.24
0.20,0.22,0.02,0.33,0.29,0.26,0.31,0.03,1,0.35,0.13,0.18
0.17,0.09,0.02,0.27,0.35,0.09,0.31,0.05,0.35,1,0.16,0.16
0.02,0.00,-0.02,0.11,0.15,0.05,0.39,0.06,0.13,0.16,1,0.17
0.16,0.07,0.04,0.12,0.46,0.22,0.32,0.24,0.18,0.16,0.17,1
