1,0.31,0.19,0.12,0.20,0.17,0.22,0.09,0.27,0.27,0.18,0.07,0.10,0.10,0.07,0.20,0.01,0.30,0.26,0.47
0.31,1,0.36,0.23,0.50,0.40,0.22,0.39,0.42,0.48,0.47,0.22,0.26,0.54,0.24,0.35,0.49,0.18,0.25,0.42
0.19,0.36,1,0.45,0.54,0.18,0.16,0.31,0.18,0.34,0.58,0.25,0.31,0.17,0.29,0.14,0.16,0.30,0.25,0.16
0.12,0.23,0.45,1,0.34,0.19,0.23,0.37,0.19,0.26,0.49,0.26,0.31,0.14,0.57,0.27,0.17,0.42,0.22,0.05
0.20,0.50,0.54,0.34,1,0.23,0.18,0.31,0.30,0.39,0.45,0.24,0.34,0.35,0.30,0.28,0.27,0.25,0.23,0.24
0.17,0.40,0.18,0.19,0.23,1,0.02,0.09,0.26,0.34,0.33,0.08,0.16,0.24,0.34,0.27,0.26,0.16,0.30,0.17
0.22,0.22,0.16,0.23,0.18,0.02,1,0.19,0.74,0.26,0.24,0.16,0.01,0.13,0.13,0.09,0.17,0.15,0.06,0.44
0.09,0.39,0.31,0.37,0.31,0.09,0.19,1,0.27,0.31,0.48,0.40,0.30,0.36,0.21,0.24,0.30,0.17,0.21,0.13
0.27,0.42,0.18,0.19,0.30,0.26,0.74,0.27,1,0.44,0.32,0.29,0.18,0.30,0.19,0.17,0.26,0.23,0.16,0.44
0.27,0.48,0.34,0.26,0.39,0.34,0.26,0.31,0.44,1,0.48,0.18,0.41,0.32,0.22,0.38,0.35,0.27,0.32,0.28
0.18,0.47,0.58,0.49,0.45,0.33,0.24,0.48,0.32,0.48,1,0.30,0.43,0.27,0.30,0.41,0.19,0.29,0.23,0.23
0.07,0.22,0.25,0.26,0.24,0.08,0.16,0.40,0.29,0.18,0.30,1,0.31,0.41,0.27,0.08,0.26,0.42,0.41,0.00
0.10,0.26,0.31,0.31,0.34,0.16,0.01,0.30,0.18,0.41,0.43,0.31,1,0.31,0.23,0.22,0.12,0.26,0.22,0.07
0.10,0.54,0.17,0.14,0.35,0.24,0.13,0.36,0.30,0.32,0.27,0.41,0.31,1,0.18,0.09,0.61,0.23,0.25,0.22
0.07,0.24,0.29,0.57,0.30,0.34,0.13,0.21,0.19,0.22,0.30,0.27,0.23,0.18,1,0.16,0.36,0.25,0.14,0.06
0.20,0.35,0.14,0.27,0.28,0.27,0.09,0.24,0.17,0.38,0.41,0.08,0.22,0.09,0.16,1,0.00,0.21,0.39,0.12
0.01,0.49,0.16,0.17,0.27,0.26,0.17,0.30,0.26,0.35,0.19,0.26,0.12,0.61,0.36,0.00,1,0.11,0.07,0.10
0.30,0.18,0.30,0.42,0.25,0.16,0.15,0.17,0.23,0.27,0.29,0.42,0.26,0.23,0.25,0.21,0.11,1,0.60,0.07
0.26,0.25,0.25,0.22,0.23,0.30,0.06,0.21,0.16,0.32,0.23,0.41,0.22,0.25,0.14,0.39,0.07,0.60,1,0.14
0.47,0.42,0.16,0.05,0.24,0.17,0.44,0.13,0.44,0.28,0.23,0.00,0.07,0.22,0.06,0.12,0.10,0.07,0.14,1
