N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.01,0.49,0.33,N/A,0.01,0.37,0.39,0.45,0.15,0.52,0.01
N/A,N/A,0.01,1,0.01,0.08,N/A,1.00,0.01,0.04,0.04,0.01,0.01,0.03
N/A,N/A,0.49,0.01,1,0.39,N/A,0.01,0.39,0.34,0.36,0.12,0.48,0.09
N/A,N/A,0.33,0.08,0.39,1,N/A,0.08,0.26,0.18,0.23,0.16,0.30,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.01,1.00,0.01,0.08,N/A,1,0.01,0.04,0.04,0.01,0.01,0.03
N/A,N/A,0.37,0.01,0.39,0.26,N/A,0.01,1,0.28,0.45,0.07,0.43,0.06
N/A,N/A,0.39,0.04,0.34,0.18,N/A,0.04,0.28,1,0.26,-0.01,0.35,0.00
N/A,N/A,0.45,0.04,0.36,0.23,N/A,0.04,0.45,0.26,1,0.07,0.35,0.02
N/A,N/A,0.15,0.01,0.12,0.16,N/A,0.01,0.07,-0.01,0.07,1,0.14,0.02
N/A,N/A,0.52,0.01,0.48,0.30,N/A,0.01,0.43,0.35,0.35,0.14,1,0.05
N/A,N/A,0.01,0.03,0.09,0.04,N/A,0.03,0.06,0.00,0.02,0.02,0.05,1
