1,0.42,0.50,0.32,0.68,0.64,0.66,0.35,0.52,0.52,0.83,0.72
0.42,1,0.32,0.15,0.46,0.28,0.29,0.24,0.25,0.23,0.43,0.37
0.50,0.32,1,0.17,0.41,0.42,0.48,0.20,0.41,0.34,0.52,0.53
0.32,0.15,0.17,1,0.32,0.22,0.35,0.05,0.15,0.15,0.28,0.26
0.68,0.46,0.41,0.32,1,0.44,0.45,0.28,0.43,0.34,0.66,0.54
0.64,0.28,0.42,0.22,0.44,1,0.63,0.29,0.44,0.45,0.74,0.68
0.66,0.29,0.48,0.35,0.45,0.63,1,0.25,0.44,0.49,0.69,0.79
0.35,0.24,0.20,0.05,0.28,0.29,0.25,1,0.20,0.29,0.39,0.27
0.52,0.25,0.41,0.15,0.43,0.44,0.44,0.20,1,0.38,0.55,0.51
0.52,0.23,0.34,0.15,0.34,0.45,0.49,0.29,0.38,1,0.56,0.52
0.83,0.43,0.52,0.28,0.66,0.74,0.69,0.39,0.55,0.56,1,0.78
0.72,0.37,0.53,0.26,0.54,0.68,0.79,0.27,0.51,0.52,0.78,1
