1,0.15,0.18,0.05,0.15,0.02,0.07,0.19,0.09,0.01,0.16,0.15,0.07
0.15,1,0.26,0.03,0.57,0.10,0.17,0.11,0.50,0.21,0.05,0.09,0.53
0.18,0.26,1,0.12,0.37,0.07,0.25,0.12,0.29,0.38,0.03,0.16,0.19
0.05,0.03,0.12,1,0.04,0.00,0.03,0.03,0.04,0.01,-0.01,0.07,0.03
0.15,0.57,0.37,0.04,1,0.04,0.13,0.14,0.64,0.30,0.09,0.09,0.29
0.02,0.10,0.07,0.00,0.04,1,0.12,0.12,0.02,0.02,-0.01,0.16,0.01
0.07,0.17,0.25,0.03,0.13,0.12,1,0.22,0.17,0.19,0.09,0.16,0.11
0.19,0.11,0.12,0.03,0.14,0.12,0.22,1,0.09,0.01,0.13,0.26,0.00
0.09,0.50,0.29,0.04,0.64,0.02,0.17,0.09,1,0.31,0.14,0.05,0.42
0.01,0.21,0.38,0.01,0.30,0.02,0.19,0.01,0.31,1,0.02,0.03,0.00
0.16,0.05,0.03,-0.01,0.09,-0.01,0.09,0.13,0.14,0.02,1,0.05,0.10
0.15,0.09,0.16,0.07,0.09,0.16,0.16,0.26,0.05,0.03,0.05,1,-0.02
0.07,0.53,0.19,0.03,0.29,0.01,0.11,0.00,0.42,0.00,0.10,-0.02,1
