1,0.42,0.24,0.28,0.15,0.05,0.65,0.41,0.04,0.41,0.09,0.14,0.47,0.13,0.23,0.60,0.14,0.12
0.42,1,0.40,0.23,0.20,0.09,0.30,0.38,0.03,0.09,0.13,0.25,0.38,0.06,0.09,0.40,0.07,0.22
0.24,0.40,1,0.24,0.08,-0.00,0.17,0.16,-0.02,0.08,0.11,0.34,0.34,0.05,0.03,0.28,0.02,0.54
0.28,0.23,0.24,1,0.12,0.02,0.22,0.19,0.02,0.15,0.14,0.07,0.28,0.00,0.23,0.29,0.04,0.15
0.15,0.20,0.08,0.12,1,0.03,0.09,0.10,-0.03,0.03,0.16,0.09,0.11,0.04,0.02,0.22,-0.02,0.04
0.05,0.09,-0.00,0.02,0.03,1,0.03,-0.01,0.11,0.02,-0.02,0.02,0.02,-0.04,0.01,0.04,0.02,-0.00
0.65,0.30,0.17,0.22,0.09,0.03,1,0.27,0.10,0.48,0.07,0.05,0.34,0.16,0.12,0.60,0.07,0.13
0.41,0.38,0.16,0.19,0.10,-0.01,0.27,1,0.00,0.14,0.04,0.10,0.17,0.12,0.27,0.39,0.01,0.05
0.04,0.03,-0.02,0.02,-0.03,0.11,0.10,0.00,1,0.02,-0.03,-0.02,-0.07,0.14,0.00,0.05,0.00,-0.01
0.41,0.09,0.08,0.15,0.03,0.02,0.48,0.14,0.02,1,-0.02,0.01,0.21,0.08,0.11,0.29,0.03,0.09
0.09,0.13,0.11,0.14,0.16,-0.02,0.07,0.04,-0.03,-0.02,1,0.10,0.16,0.07,0.02,0.02,-0.04,0.21
0.14,0.25,0.34,0.07,0.09,0.02,0.05,0.10,-0.02,0.01,0.10,1,0.20,0.05,0.03,0.19,0.00,0.06
0.47,0.38,0.34,0.28,0.11,0.02,0.34,0.17,-0.07,0.21,0.16,0.20,1,0.14,0.10,0.37,0.16,0.15
0.13,0.06,0.05,0.00,0.04,-0.04,0.16,0.12,0.14,0.08,0.07,0.05,0.14,1,0.03,0.14,-0.01,0.08
0.23,0.09,0.03,0.23,0.02,0.01,0.12,0.27,0.00,0.11,0.02,0.03,0.10,0.03,1,0.26,0.01,-0.03
0.60,0.40,0.28,0.29,0.22,0.04,0.60,0.39,0.05,0.29,0.02,0.19,0.37,0.14,0.26,1,0.06,0.10
0.14,0.07,0.02,0.04,-0.02,0.02,0.07,0.01,0.00,0.03,-0.04,0.00,0.16,-0.01,0.01,0.06,1,0.08
0.12,0.22,0.54,0.15,0.04,-0.00,0.13,0.05,-0.01,0.09,0.21,0.06,0.15,0.08,-0.03,0.10,0.08,1
