1,0.46,0.05,0.37,0.29,0.04,0.01,0.36,0.30,0.19,0.07
0.46,1,0.06,0.29,0.31,0.01,0.00,0.28,0.15,0.11,0.02
0.05,0.06,1,0.16,0.27,0.04,0.05,0.05,0.00,0.64,0.22
0.37,0.29,0.16,1,0.64,0.09,0.12,0.30,0.10,0.29,0.17
0.29,0.31,0.27,0.64,1,0.09,0.14,0.33,0.11,0.42,0.26
0.04,0.01,0.04,0.09,0.09,1,0.09,0.05,0.25,0.06,-0.05
0.01,0.00,0.05,0.12,0.14,0.09,1,0.00,0.12,0.02,0.04
0.36,0.28,0.05,0.30,0.33,0.05,0.00,1,0.07,0.06,0.02
0.30,0.15,0.00,0.10,0.11,0.25,0.12,0.07,1,0.06,0.09
0.19,0.11,0.64,0.29,0.42,0.06,0.02,0.06,0.06,1,0.33
0.07,0.02,0.22,0.17,0.26,-0.05,0.04,0.02,0.09,0.33,1
