1,0.16,0.02,0.04,0.08,0.06,0.05,0.11,0.12,0.11,0.11,0.01,0.11,0.07,0.00,0.01,0.09,0.06,0.06,0.09,0.11
0.16,1,0.07,0.22,0.26,0.08,0.32,0.34,0.38,0.28,0.18,0.61,0.18,0.19,0.21,0.13,0.32,-0.01,0.25,0.37,0.25
0.02,0.07,1,0.10,0.21,0.05,0.22,0.06,0.19,0.03,0.09,0.13,0.09,0.02,0.32,0.01,0.28,0.03,0.13,0.19,0.08
0.04,0.22,0.10,1,0.22,0.29,0.22,0.16,0.34,0.16,0.17,0.16,0.18,0.08,0.10,0.11,0.24,0.03,0.24,0.31,0.15
0.08,0.26,0.21,0.22,1,0.15,0.39,0.24,0.41,0.24,0.31,0.25,0.22,0.01,0.17,0.10,0.39,0.10,0.37,0.37,0.27
0.06,0.08,0.05,0.29,0.15,1,0.08,0.03,0.17,0.14,0.09,0.11,0.05,0.02,0.01,-0.02,0.08,0.01,0.15,0.11,0.01
0.05,0.32,0.22,0.22,0.39,0.08,1,0.25,0.43,0.27,0.22,0.27,0.32,0.08,0.16,0.01,0.37,0.06,0.33,0.40,0.55
0.11,0.34,0.06,0.16,0.24,0.03,0.25,1,0.41,0.27,0.19,0.32,0.20,0.15,0.10,0.12,0.37,0.06,0.19,0.30,0.27
0.12,0.38,0.19,0.34,0.41,0.17,0.43,0.41,1,0.39,0.41,0.27,0.33,0.08,0.25,0.09,0.58,0.06,0.49,0.64,0.39
0.11,0.28,0.03,0.16,0.24,0.14,0.27,0.27,0.39,1,0.10,0.29,0.19,0.08,0.11,0.09,0.29,0.08,0.20,0.31,0.25
0.11,0.18,0.09,0.17,0.31,0.09,0.22,0.19,0.41,0.10,1,0.09,0.29,-0.00,0.07,0.01,0.38,0.01,0.49,0.47,0.17
0.01,0.61,0.13,0.16,0.25,0.11,0.27,0.32,0.27,0.29,0.09,1,0.05,0.39,0.06,0.16,0.25,0.02,0.18,0.27,0.24
0.11,0.18,0.09,0.18,0.22,0.05,0.32,0.20,0.33,0.19,0.29,0.05,1,0.02,0.13,0.01,0.26,0.03,0.30,0.35,0.14
0.07,0.19,0.02,0.08,0.01,0.02,0.08,0.15,0.08,0.08,-0.00,0.39,0.02,1,0.03,0.04,0.04,0.14,0.04,0.05,0.13
0.00,0.21,0.32,0.10,0.17,0.01,0.16,0.10,0.25,0.11,0.07,0.06,0.13,0.03,1,0.02,0.25,-0.03,0.15,0.20,0.19
0.01,0.13,0.01,0.11,0.10,-0.02,0.01,0.12,0.09,0.09,0.01,0.16,0.01,0.04,0.02,1,0.10,0.02,0.09,0.06,0.10
0.09,0.32,0.28,0.24,0.39,0.08,0.37,0.37,0.58,0.29,0.38,0.25,0.26,0.04,0.25,0.10,1,0.05,0.42,0.46,0.31
0.06,-0.01,0.03,0.03,0.10,0.01,0.06,0.06,0.06,0.08,0.01,0.02,0.03,0.14,-0.03,0.02,0.05,1,0.11,0.06,0.07
0.06,0.25,0.13,0.24,0.37,0.15,0.33,0.19,0.49,0.20,0.49,0.18,0.30,0.04,0.15,0.09,0.42,0.11,1,0.51,0.21
0.09,0.37,0.19,0.31,0.37,0.11,0.40,0.30,0.64,0.31,0.47,0.27,0.35,0.05,0.20,0.06,0.46,0.06,0.51,1,0.30
0.11,0.25,0.08,0.15,0.27,0.01,0.55,0.27,0.39,0.25,0.17,0.24,0.14,0.13,0.19,0.10,0.31,0.07,0.21,0.30,1
