1,0.71,0.73,0.97,0.97,0.92,0.91,0.33,0.64,0.47,0.68,0.41,0.92,0.11,0.87,0.66,0.38,0.17,0.56,0.84,0.92,0.42,0.35,0.95,0.91,0.33,0.90,0.55,0.07,0.89,0.58,0.58,0.27,0.91,0.96,0.48,0.94,0.90,0.96,0.90,0.21,0.92,0.90,0.85
0.71,1,0.94,0.72,0.71,0.72,0.68,0.37,0.49,0.41,0.67,0.35,0.68,0.06,0.64,0.54,0.44,0.22,0.51,0.68,0.74,0.52,0.34,0.74,0.74,0.35,0.71,0.44,0.10,0.78,0.77,0.87,0.15,0.65,0.71,0.42,0.68,0.69,0.68,0.66,0.18,0.71,0.66,0.79
0.73,0.94,1,0.74,0.73,0.74,0.72,0.40,0.45,0.39,0.67,0.36,0.68,0.08,0.65,0.53,0.51,0.21,0.50,0.69,0.77,0.57,0.37,0.75,0.71,0.39,0.73,0.43,0.08,0.80,0.78,0.79,0.17,0.67,0.73,0.39,0.71,0.70,0.71,0.69,0.21,0.74,0.68,0.72
0.97,0.72,0.74,1,0.97,0.92,0.92,0.32,0.66,0.50,0.65,0.43,0.93,0.10,0.89,0.70,0.41,0.15,0.60,0.86,0.95,0.43,0.38,0.95,0.93,0.32,0.91,0.47,0.09,0.89,0.55,0.58,0.27,0.94,0.98,0.51,0.96,0.92,0.98,0.92,0.21,0.95,0.93,0.88
0.97,0.71,0.73,0.97,1,0.91,0.91,0.32,0.66,0.49,0.65,0.39,0.90,0.09,0.87,0.66,0.39,0.18,0.59,0.83,0.92,0.43,0.37,0.92,0.92,0.32,0.90,0.59,0.08,0.89,0.58,0.56,0.27,0.91,0.97,0.50,0.95,0.91,0.95,0.91,0.23,0.96,0.90,0.85
0.92,0.72,0.74,0.92,0.91,1,0.84,0.35,0.65,0.48,0.62,0.41,0.86,0.09,0.84,0.67,0.44,0.18,0.62,0.86,0.90,0.43,0.35,0.90,0.87,0.34,0.87,0.61,0.10,0.85,0.59,0.59,0.29,0.86,0.90,0.55,0.89,0.92,0.90,0.85,0.25,0.86,0.85,0.84
0.91,0.68,0.72,0.92,0.91,0.84,1,0.36,0.58,0.44,0.65,0.39,0.86,0.09,0.86,0.62,0.42,0.20,0.57,0.76,0.89,0.45,0.40,0.89,0.90,0.29,0.89,0.41,0.08,0.85,0.56,0.56,0.26,0.91,0.92,0.45,0.91,0.86,0.93,0.88,0.19,0.90,0.89,0.80
0.33,0.37,0.40,0.32,0.32,0.35,0.36,1,0.23,0.13,0.28,0.20,0.26,0.11,0.30,0.23,0.41,0.08,0.22,0.30,0.38,0.29,0.26,0.34,0.29,0.25,0.34,0.22,0.02,0.33,0.47,0.32,0.07,0.32,0.31,0.16,0.34,0.33,0.33,0.29,0.05,0.35,0.31,0.28
0.64,0.49,0.45,0.66,0.66,0.65,0.58,0.23,1,0.46,0.43,0.38,0.66,0.06,0.56,0.55,0.30,0.05,0.42,0.62,0.61,0.32,0.21,0.64,0.66,0.17,0.61,0.42,0.01,0.60,0.40,0.42,0.27,0.62,0.67,0.40,0.65,0.63,0.63,0.60,0.15,0.64,0.61,0.67
0.47,0.41,0.39,0.50,0.49,0.48,0.44,0.13,0.46,1,0.38,0.27,0.49,0.09,0.42,0.43,0.25,0.11,0.36,0.51,0.47,0.18,0.18,0.49,0.51,0.14,0.46,0.26,0.01,0.47,0.34,0.37,0.10,0.44,0.50,0.28,0.48,0.50,0.47,0.50,0.10,0.49,0.45,0.53
0.68,0.67,0.67,0.65,0.65,0.62,0.65,0.28,0.43,0.38,1,0.39,0.58,0.12,0.59,0.47,0.36,0.15,0.40,0.60,0.65,0.46,0.31,0.66,0.66,0.22,0.64,0.38,0.03,0.75,0.61,0.67,0.16,0.60,0.65,0.28,0.63,0.60,0.63,0.62,0.16,0.63,0.59,0.67
0.41,0.35,0.36,0.43,0.39,0.41,0.39,0.20,0.38,0.27,0.39,1,0.36,0.03,0.36,0.33,0.29,0.02,0.31,0.39,0.46,0.22,0.21,0.40,0.43,0.08,0.41,0.21,0.02,0.34,0.27,0.28,0.04,0.39,0.42,0.28,0.40,0.39,0.41,0.37,0.04,0.39,0.43,0.44
