1,0.12,0.10,0.20,0.09,0.40,0.36,0.09,0.03,0.10,0.24,0.37,0.01,0.26,0.03,0.21
0.12,1,0.03,0.03,0.07,0.13,0.20,-0.01,-0.02,0.01,0.03,0.16,-0.00,0.03,0.01,0.07
0.10,0.03,1,-0.00,0.16,0.13,0.23,0.06,0.27,0.02,0.10,0.20,0.00,0.09,0.09,0.14
0.20,0.03,-0.00,1,0.07,0.25,0.16,0.04,0.01,0.04,0.10,0.21,-0.05,0.11,0.03,0.02
0.09,0.07,0.16,0.07,1,0.25,0.31,0.11,0.08,0.04,0.14,0.31,0.01,0.13,0.21,0.16
0.40,0.13,0.13,0.25,0.25,1,0.73,0.07,0.10,0.23,0.24,0.65,0.04,0.33,0.12,0.19
0.36,0.20,0.23,0.16,0.31,0.73,1,0.09,0.12,0.14,0.29,0.77,0.06,0.38,0.15,0.27
0.09,-0.01,0.06,0.04,0.11,0.07,0.09,1,0.06,0.02,-0.01,0.08,-0.01,0.06,0.05,-0.01
0.03,-0.02,0.27,0.01,0.08,0.10,0.12,0.06,1,0.07,0.03,0.11,0.02,0.02,0.04,0.02
0.10,0.01,0.02,0.04,0.04,0.23,0.14,0.02,0.07,1,0.20,0.19,-0.00,0.18,0.03,0.01
0.24,0.03,0.10,0.10,0.14,0.24,0.29,-0.01,0.03,0.20,1,0.34,0.03,0.38,0.04,0.14
0.37,0.16,0.20,0.21,0.31,0.65,0.77,0.08,0.11,0.19,0.34,1,0.13,0.41,0.15,0.28
0.01,-0.00,0.00,-0.05,0.01,0.04,0.06,-0.01,0.02,-0.00,0.03,0.13,1,0.05,-0.01,0.13
0.26,0.03,0.09,0.11,0.13,0.33,0.38,0.06,0.02,0.18,0.38,0.41,0.05,1,0.21,0.17
0.03,0.01,0.09,0.03,0.21,0.12,0.15,0.05,0.04,0.03,0.04,0.15,-0.01,0.21,1,0.04
0.21,0.07,0.14,0.02,0.16,0.19,0.27,-0.01,0.02,0.01,0.14,0.28,0.13,0.17,0.04,1
