1,0.44,0.13,0.02,0.06,0.23,0.04,0.15,0.17,0.20,0.04,0.16,0.11,-0.00,0.02,0.61,0.05,0.17,0.16,0.01,0.14
0.44,1,0.13,0.02,0.18,0.20,0.12,0.21,0.25,0.06,0.06,0.12,0.11,0.07,0.02,0.30,0.10,0.27,0.24,0.01,0.21
0.13,0.13,1,0.08,0.20,0.08,0.23,0.22,0.35,0.27,0.16,0.18,0.23,0.12,0.09,0.01,0.14,0.27,0.40,0.02,0.30
0.02,0.02,0.08,1,0.14,0.03,0.16,0.06,0.03,-0.01,0.15,0.14,0.15,0.06,0.04,0.01,0.06,0.04,0.21,0.03,0.13
0.06,0.18,0.20,0.14,1,0.08,0.25,0.25,0.40,0.12,0.16,0.23,0.30,0.17,0.16,0.04,0.24,0.18,0.44,0.04,0.26
0.23,0.20,0.08,0.03,0.08,1,0.14,0.29,0.25,0.05,0.04,0.10,0.14,0.02,0.02,0.29,0.06,0.29,0.25,0.02,0.32
0.04,0.12,0.23,0.16,0.25,0.14,1,0.21,0.25,0.05,0.08,0.15,0.17,0.17,0.05,0.04,0.08,0.22,0.36,0.01,0.26
0.15,0.21,0.22,0.06,0.25,0.29,0.21,1,0.58,0.25,0.17,0.18,0.28,0.14,0.15,0.13,0.10,0.51,0.43,0.02,0.53
0.17,0.25,0.35,0.03,0.40,0.25,0.25,0.58,1,0.24,0.32,0.25,0.32,0.19,0.24,0.08,0.21,0.57,0.64,0.06,0.47
0.20,0.06,0.27,-0.01,0.12,0.05,0.05,0.25,0.24,1,0.04,0.20,0.05,0.02,0.05,-0.01,0.02,0.21,0.19,-0.01,0.15
0.04,0.06,0.16,0.15,0.16,0.04,0.08,0.17,0.32,0.04,1,0.26,0.25,0.10,0.16,0.01,0.14,0.15,0.33,0.01,0.21
0.16,0.12,0.18,0.14,0.23,0.10,0.15,0.18,0.25,0.20,0.26,1,0.24,0.16,0.08,0.16,0.14,0.18,0.38,0.02,0.22
0.11,0.11,0.23,0.15,0.30,0.14,0.17,0.28,0.32,0.05,0.25,0.24,1,-0.00,0.13,0.18,0.19,0.16,0.35,0.04,0.23
-0.00,0.07,0.12,0.06,0.17,0.02,0.17,0.14,0.19,0.02,0.10,0.16,-0.00,1,-0.01,0.00,0.08,0.13,0.32,0.04,0.13
0.02,0.02,0.09,0.04,0.16,0.02,0.05,0.15,0.24,0.05,0.16,0.08,0.13,-0.01,1,0.02,0.08,0.17,0.18,-0.00,0.11
0.61,0.30,0.01,0.01,0.04,0.29,0.04,0.13,0.08,-0.01,0.01,0.16,0.18,0.00,0.02,1,0.03,0.11,0.08,0.01,0.11
0.05,0.10,0.14,0.06,0.24,0.06,0.08,0.10,0.21,0.02,0.14,0.14,0.19,0.08,0.08,0.03,1,0.08,0.39,0.10,0.11
0.17,0.27,0.27,0.04,0.18,0.29,0.22,0.51,0.57,0.21,0.15,0.18,0.16,0.13,0.17,0.11,0.08,1,0.48,0.04,0.41
0.16,0.24,0.40,0.21,0.44,0.25,0.36,0.43,0.64,0.19,0.33,0.38,0.35,0.32,0.18,0.08,0.39,0.48,1,0.08,0.47
0.01,0.01,0.02,0.03,0.04,0.02,0.01,0.02,0.06,-0.01,0.01,0.02,0.04,0.04,-0.00,0.01,0.10,0.04,0.08,1,0.01
0.14,0.21,0.30,0.13,0.26,0.32,0.26,0.53,0.47,0.15,0.21,0.22,0.23,0.13,0.11,0.11,0.11,0.41,0.47,0.01,1
