1,0.08,0.07,0.19,0.10,-0.01,-0.03,0.04,0.11,0.06,0.09,0.15,0.15,0.17,0.13
0.08,1,-0.05,0.12,0.03,0.02,-0.04,0.10,0.15,0.38,0.01,0.04,0.06,-0.01,-0.01
0.07,-0.05,1,0.08,0.06,0.02,0.06,0.01,0.03,0.06,0.00,0.20,0.17,0.07,-0.00
0.19,0.12,0.08,1,0.55,0.03,0.10,0.08,0.41,0.22,0.17,0.76,0.50,0.35,0.32
0.10,0.03,0.06,0.55,1,0.01,0.08,0.11,0.39,0.09,0.13,0.41,0.47,0.21,0.25
-0.01,0.02,0.02,0.03,0.01,1,-0.02,0.08,0.11,-0.01,0.00,0.01,0.00,0.00,-0.02
-0.03,-0.04,0.06,0.10,0.08,-0.02,1,-0.03,0.05,-0.02,0.02,0.11,0.14,0.06,0.05
0.04,0.10,0.01,0.08,0.11,0.08,-0.03,1,0.02,0.22,-0.01,0.12,0.12,0.14,-0.04
0.11,0.15,0.03,0.41,0.39,0.11,0.05,0.02,1,0.19,0.10,0.31,0.39,0.28,0.28
0.06,0.38,0.06,0.22,0.09,-0.01,-0.02,0.22,0.19,1,0.02,0.17,0.15,0.24,0.12
0.09,0.01,0.00,0.17,0.13,0.00,0.02,-0.01,0.10,0.02,1,0.08,0.12,0.22,0.09
0.15,0.04,0.20,0.76,0.41,0.01,0.11,0.12,0.31,0.17,0.08,1,0.48,0.25,0.20
0.15,0.06,0.17,0.50,0.47,0.00,0.14,0.12,0.39,0.15,0.12,0.48,1,0.31,0.29
0.17,-0.01,0.07,0.35,0.21,0.00,0.06,0.14,0.28,0.24,0.22,0.25,0.31,1,0.28
0.13,-0.01,-0.00,0.32,0.25,-0.02,0.05,-0.04,0.28,0.12,0.09,0.20,0.29,0.28,1
