1,0.03,0.26,0.28,0.16,0.22,0.34,0.14,0.09,N/A,0.07,N/A,0.42,0.14,-0.01
0.03,1,0.08,0.04,0.10,0.04,0.15,0.02,-0.01,N/A,0.01,N/A,0.05,0.03,-0.00
0.26,0.08,1,0.15,0.32,0.35,0.31,0.21,0.13,N/A,0.02,N/A,0.46,0.18,0.08
0.28,0.04,0.15,1,0.09,0.20,0.24,0.09,0.07,N/A,0.13,N/A,0.34,0.07,0.02
0.16,0.10,0.32,0.09,1,0.18,0.25,0.10,0.01,N/A,0.12,N/A,0.21,0.14,-0.00
0.22,0.04,0.35,0.20,0.18,1,0.31,0.05,0.09,N/A,0.12,N/A,0.32,0.13,-0.01
0.34,0.15,0.31,0.24,0.25,0.31,1,0.19,0.14,N/A,0.11,N/A,0.45,0.19,-0.01
0.14,0.02,0.21,0.09,0.10,0.05,0.19,1,0.06,N/A,0.03,N/A,0.17,0.07,0.34
0.09,-0.01,0.13,0.07,0.01,0.09,0.14,0.06,1,N/A,-0.01,N/A,0.16,0.05,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.01,0.02,0.13,0.12,0.12,0.11,0.03,-0.01,N/A,1,N/A,0.19,0.26,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.42,0.05,0.46,0.34,0.21,0.32,0.45,0.17,0.16,N/A,0.19,N/A,1,0.29,-0.00
0.14,0.03,0.18,0.07,0.14,0.13,0.19,0.07,0.05,N/A,0.26,N/A,0.29,1,-0.00
-0.01,-0.00,0.08,0.02,-0.00,-0.01,-0.01,0.34,0.00,N/A,0.00,N/A,-0.00,-0.00,1
