N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,1,0.29,0.49,0.36,0.29,0.42,0.29,0.12,0.38
N/A,N/A,N/A,0.29,1,0.33,0.40,0.36,0.22,0.21,0.12,0.45
N/A,N/A,N/A,0.49,0.33,1,0.36,0.41,0.39,0.19,0.09,0.34
N/A,N/A,N/A,0.36,0.40,0.36,1,0.22,0.26,0.16,0.26,0.33
N/A,N/A,N/A,0.29,0.36,0.41,0.22,1,0.21,0.15,0.18,0.22
N/A,N/A,N/A,0.42,0.22,0.39,0.26,0.21,1,0.26,0.09,0.25
N/A,N/A,N/A,0.29,0.21,0.19,0.16,0.15,0.26,1,0.18,0.23
N/A,N/A,N/A,0.12,0.12,0.09,0.26,0.18,0.09,0.18,1,0.11
N/A,N/A,N/A,0.38,0.45,0.34,0.33,0.22,0.25,0.23,0.11,1
