1,0.23,0.35,0.39,0.12,0.04,0.05,0.23,0.11,0.11,0.26,0.37,0.40,0.19,0.10,0.27,0.01,0.29,0.21,0.18,0.12,0.13,0.06,0.36,0.13,0.21
0.23,1,0.36,0.22,0.14,0.05,0.16,0.28,0.11,0.09,0.39,0.33,0.30,0.30,0.22,0.22,-0.00,0.13,0.13,0.25,0.14,0.05,-0.02,0.16,0.21,0.28
0.35,0.36,1,0.29,0.46,0.01,0.16,0.33,0.34,0.35,0.37,0.60,0.46,0.47,0.25,0.45,0.07,0.38,0.29,0.24,0.39,0.24,0.12,0.33,0.33,0.51
0.39,0.22,0.29,1,0.09,0.02,-0.02,0.33,0.14,0.14,0.24,0.26,0.47,0.15,0.15,0.28,0.09,0.36,0.13,0.21,0.22,0.06,0.10,0.42,0.17,0.20
0.12,0.14,0.46,0.09,1,-0.00,0.14,0.10,0.18,0.15,0.20,0.33,0.16,0.31,0.20,0.23,0.02,0.22,0.13,0.05,0.27,0.11,-0.00,0.10,0.12,0.28
0.04,0.05,0.01,0.02,-0.00,1,-0.00,0.01,-0.01,-0.01,0.09,0.06,-0.01,0.03,-0.03,-0.02,0.11,0.01,-0.03,0.02,-0.00,0.01,-0.00,-0.01,-0.01,0.00
0.05,0.16,0.16,-0.02,0.14,-0.00,1,0.11,0.02,0.01,0.02,0.06,0.05,0.06,0.11,0.04,0.05,0.01,0.01,0.00,0.03,0.00,-0.03,-0.02,0.00,0.12
0.23,0.28,0.33,0.33,0.10,0.01,0.11,1,0.20,0.17,0.18,0.28,0.39,0.24,0.12,0.31,0.04,0.41,0.14,0.25,0.29,0.15,0.09,0.33,0.25,0.23
0.11,0.11,0.34,0.14,0.18,-0.01,0.02,0.20,1,0.89,0.23,0.26,0.12,0.35,0.14,0.16,0.05,0.24,0.18,0.07,0.22,0.11,-0.02,0.12,0.08,0.38
0.11,0.09,0.35,0.14,0.15,-0.01,0.01,0.17,0.89,1,0.28,0.28,0.11,0.38,0.15,0.15,0.06,0.22,0.21,0.08,0.13,0.09,-0.01,0.13,0.10,0.40
0.26,0.39,0.37,0.24,0.20,0.09,0.02,0.18,0.23,0.28,1,0.40,0.27,0.36,0.21,0.28,0.07,0.20,0.13,0.13,0.10,0.10,0.01,0.15,0.12,0.32
0.37,0.33,0.60,0.26,0.33,0.06,0.06,0.28,0.26,0.28,0.40,1,0.37,0.52,0.27,0.35,0.11,0.26,0.26,0.24,0.26,0.25,0.01,0.26,0.24,0.54
0.40,0.30,0.46,0.47,0.16,-0.01,0.05,0.39,0.12,0.11,0.27,0.37,1,0.24,0.23,0.46,0.09,0.34,0.24,0.26,0.26,0.15,0.12,0.38,0.27,0.27
0.19,0.30,0.47,0.15,0.31,0.03,0.06,0.24,0.35,0.38,0.36,0.52,0.24,1,0.14,0.23,0.01,0.24,0.13,0.25,0.26,0.15,-0.01,0.12,0.13,0.43
0.10,0.22,0.25,0.15,0.20,-0.03,0.11,0.12,0.14,0.15,0.21,0.27,0.23,0.14,1,0.13,0.12,0.10,0.16,0.18,0.05,0.08,0.02,0.20,0.22,0.12
0.27,0.22,0.45,0.28,0.23,-0.02,0.04,0.31,0.16,0.15,0.28,0.35,0.46,0.23,0.13,1,0.15,0.29,0.19,0.23,0.15,0.21,0.15,0.38,0.21,0.26
0.01,-0.00,0.07,0.09,0.02,0.11,0.05,0.04,0.05,0.06,0.07,0.11,0.09,0.01,0.12,0.15,1,0.07,0.15,0.13,0.04,0.05,0.06,0.03,0.18,0.03
0.29,0.13,0.38,0.36,0.22,0.01,0.01,0.41,0.24,0.22,0.20,0.26,0.34,0.24,0.10,0.29,0.07,1,0.07,0.15,0.24,0.16,0.08,0.41,0.13,0.18
0.21,0.13,0.29,0.13,0.13,-0.03,0.01,0.14,0.18,0.21,0.13,0.26,0.24,0.13,0.16,0.19,0.15,0.07,1,0.13,0.12,0.08,-0.02,0.16,0.12,0.28
0.18,0.25,0.24,0.21,0.05,0.02,0.00,0.25,0.07,0.08,0.13,0.24,0.26,0.25,0.18,0.23,0.13,0.15,0.13,1,0.14,0.09,0.01,0.27,0.29,0.14
0.12,0.14,0.39,0.22,0.27,-0.00,0.03,0.29,0.22,0.13,0.10,0.26,0.26,0.26,0.05,0.15,0.04,0.24,0.12,0.14,1,0.18,0.06,0.20,0.17,0.27
0.13,0.05,0.24,0.06,0.11,0.01,0.00,0.15,0.11,0.09,0.10,0.25,0.15,0.15,0.08,0.21,0.05,0.16,0.08,0.09,0.18,1,0.25,0.17,0.13,0.25
0.06,-0.02,0.12,0.10,-0.00,-0.00,-0.03,0.09,-0.02,-0.01,0.01,0.01,0.12,-0.01,0.02,0.15,0.06,0.08,-0.02,0.01,0.06,0.25,1,0.12,0.05,-0.02
0.36,0.16,0.33,0.42,0.10,-0.01,-0.02,0.33,0.12,0.13,0.15,0.26,0.38,0.12,0.20,0.38,0.03,0.41,0.16,0.27,0.20,0.17,0.12,1,0.17,0.08
0.13,0.21,0.33,0.17,0.12,-0.01,0.00,0.25,0.08,0.10,0.12,0.24,0.27,0.13,0.22,0.21,0.18,0.13,0.12,0.29,0.17,0.13,0.05,0.17,1,0.20
0.21,0.28,0.51,0.20,0.28,0.00,0.12,0.23,0.38,0.40,0.32,0.54,0.27,0.43,0.12,0.26,0.03,0.18,0.28,0.14,0.27,0.25,-0.02,0.08,0.20,1
