1,0.31,0.23,0.26,0.36,0.31,0.14,0.37,0.16,0.25,0.18,0.20,0.29,0.49,0.13,0.38,0.05,0.26,0.16,0.22,0.25,0.36,0.08,0.19,0.09,0.18,0.21
0.31,1,0.27,0.25,0.39,0.27,0.19,0.64,0.11,0.36,0.34,0.39,0.52,0.47,0.05,0.41,0.07,0.11,0.28,0.25,0.17,0.20,0.15,0.06,0.20,0.27,0.42
0.23,0.27,1,0.23,0.28,0.27,-0.02,0.33,0.09,0.16,0.16,0.29,0.22,0.35,0.13,0.31,0.02,0.02,0.22,0.16,0.11,0.16,0.04,0.08,0.12,0.12,0.28
0.26,0.25,0.23,1,0.35,0.38,0.04,0.22,0.05,0.23,0.15,0.27,0.24,0.48,0.04,0.40,0.04,0.05,0.20,0.19,0.07,0.36,0.10,0.05,0.17,0.07,0.15
0.36,0.39,0.28,0.35,1,0.48,0.07,0.45,0.19,0.35,0.27,0.39,0.41,0.76,0.13,0.85,0.09,0.10,0.23,0.34,0.18,0.39,0.17,0.16,0.26,0.28,0.36
0.31,0.27,0.27,0.38,0.48,1,0.05,0.37,0.10,0.21,0.19,0.21,0.28,0.56,0.01,0.47,0.11,0.03,0.18,0.43,0.14,0.49,0.06,0.24,0.29,0.26,0.27
0.14,0.19,-0.02,0.04,0.07,0.05,1,0.13,0.10,0.14,0.10,0.00,0.19,0.09,-0.01,0.09,0.00,-0.02,-0.01,0.02,0.08,0.10,0.04,0.02,0.02,0.09,0.04
0.37,0.64,0.33,0.22,0.45,0.37,0.13,1,0.18,0.30,0.30,0.41,0.45,0.53,0.17,0.46,0.07,0.09,0.29,0.29,0.16,0.26,0.10,0.08,0.25,0.32,0.54
0.16,0.11,0.09,0.05,0.19,0.10,0.10,0.18,1,0.17,0.12,0.18,0.24,0.25,0.04,0.17,0.07,0.06,0.11,0.05,0.10,0.07,0.09,0.11,0.02,0.22,0.15
0.25,0.36,0.16,0.23,0.35,0.21,0.14,0.30,0.17,1,0.19,0.37,0.46,0.45,0.05,0.34,0.18,0.15,0.18,0.20,0.23,0.16,0.14,0.08,0.13,0.09,0.23
0.18,0.34,0.16,0.15,0.27,0.19,0.10,0.30,0.12,0.19,1,0.31,0.45,0.31,0.07,0.25,0.13,0.11,0.37,0.07,0.09,0.16,0.07,0.17,0.23,0.12,0.29
0.20,0.39,0.29,0.27,0.39,0.21,0.00,0.41,0.18,0.37,0.31,1,0.42,0.50,0.07,0.39,0.27,0.07,0.31,0.19,0.16,0.21,0.24,0.01,0.12,0.07,0.41
0.29,0.52,0.22,0.24,0.41,0.28,0.19,0.45,0.24,0.46,0.45,0.42,1,0.57,0.11,0.42,0.19,0.08,0.26,0.24,0.28,0.32,0.27,0.14,0.17,0.20,0.37
0.49,0.47,0.35,0.48,0.76,0.56,0.09,0.53,0.25,0.45,0.31,0.50,0.57,1,0.17,0.74,0.15,0.16,0.31,0.41,0.27,0.48,0.22,0.18,0.34,0.26,0.41
0.13,0.05,0.13,0.04,0.13,0.01,-0.01,0.17,0.04,0.05,0.07,0.07,0.11,0.17,1,0.14,0.02,-0.01,0.06,-0.05,0.06,0.03,-0.04,0.09,0.04,-0.03,0.09
0.38,0.41,0.31,0.40,0.85,0.47,0.09,0.46,0.17,0.34,0.25,0.39,0.42,0.74,0.14,1,0.10,0.10,0.23,0.34,0.18,0.36,0.16,0.14,0.23,0.24,0.36
0.05,0.07,0.02,0.04,0.09,0.11,0.00,0.07,0.07,0.18,0.13,0.27,0.19,0.15,0.02,0.10,1,-0.02,0.19,0.11,0.06,0.10,0.02,0.02,0.02,0.01,0.08
0.26,0.11,0.02,0.05,0.10,0.03,-0.02,0.09,0.06,0.15,0.11,0.07,0.08,0.16,-0.01,0.10,-0.02,1,0.03,0.03,0.17,0.04,0.02,0.21,0.06,0.01,0.08
0.16,0.28,0.22,0.20,0.23,0.18,-0.01,0.29,0.11,0.18,0.37,0.31,0.26,0.31,0.06,0.23,0.19,0.03,1,0.12,0.01,0.11,0.07,0.09,0.09,0.10,0.22
0.22,0.25,0.16,0.19,0.34,0.43,0.02,0.29,0.05,0.20,0.07,0.19,0.24,0.41,-0.05,0.34,0.11,0.03,0.12,1,0.15,0.25,0.12,0.11,0.26,0.14,0.21
0.25,0.17,0.11,0.07,0.18,0.14,0.08,0.16,0.10,0.23,0.09,0.16,0.28,0.27,0.06,0.18,0.06,0.17,0.01,0.15,1,0.18,0.04,0.21,0.05,0.09,0.17
0.36,0.20,0.16,0.36,0.39,0.49,0.10,0.26,0.07,0.16,0.16,0.21,0.32,0.48,0.03,0.36,0.10,0.04,0.11,0.25,0.18,1,0.07,0.20,0.24,0.14,0.08
0.08,0.15,0.04,0.10,0.17,0.06,0.04,0.10,0.09,0.14,0.07,0.24,0.27,0.22,-0.04,0.16,0.02,0.02,0.07,0.12,0.04,0.07,1,-0.00,0.09,0.05,0.10
0.19,0.06,0.08,0.05,0.16,0.24,0.02,0.08,0.11,0.08,0.17,0.01,0.14,0.18,0.09,0.14,0.02,0.21,0.09,0.11,0.21,0.20,-0.00,1,0.14,0.10,0.10
0.09,0.20,0.12,0.17,0.26,0.29,0.02,0.25,0.02,0.13,0.23,0.12,0.17,0.34,0.04,0.23,0.02,0.06,0.09,0.26,0.05,0.24,0.09,0.14,1,0.12,0.11
0.18,0.27,0.12,0.07,0.28,0.26,0.09,0.32,0.22,0.09,0.12,0.07,0.20,0.26,-0.03,0.24,0.01,0.01,0.10,0.14,0.09,0.14,0.05,0.10,0.12,1,0.12
0.21,0.42,0.28,0.15,0.36,0.27,0.04,0.54,0.15,0.23,0.29,0.41,0.37,0.41,0.09,0.36,0.08,0.08,0.22,0.21,0.17,0.08,0.10,0.10,0.11,0.12,1
