1,0.32,0.18,0.50,0.51,0.28,0.68,0.43,0.62,0.18,0.31,0.51,0.30,0.03,0.04,0.68,0.24,0.22,0.39,0.25,0.06,N/A,0.08,0.11,0.04
0.32,1,0.12,0.22,0.36,0.19,0.31,0.18,0.26,0.16,0.06,0.29,0.18,0.03,0.00,0.32,0.07,0.01,0.19,0.09,-0.00,N/A,0.02,-0.06,0.00
0.18,0.12,1,0.05,0.25,0.04,0.22,0.04,0.15,0.14,0.17,0.11,0.13,0.01,0.01,0.30,0.07,0.06,0.08,0.20,0.40,N/A,-0.01,0.03,0.01
0.50,0.22,0.05,1,0.27,0.12,0.33,0.25,0.42,0.09,0.17,0.30,0.12,-0.03,-0.01,0.38,0.07,0.01,0.29,0.14,-0.00,N/A,0.05,-0.04,-0.01
0.51,0.36,0.25,0.27,1,0.19,0.52,0.21,0.36,0.16,0.16,0.47,0.25,0.02,-0.01,0.49,0.15,0.07,0.31,0.31,0.12,N/A,0.02,0.02,-0.01
0.28,0.19,0.04,0.12,0.19,1,0.28,0.11,0.14,0.11,0.08,0.14,0.07,0.02,-0.01,0.26,0.14,0.26,0.13,0.07,-0.02,N/A,0.04,-0.06,-0.01
0.68,0.31,0.22,0.33,0.52,0.28,1,0.29,0.48,0.20,0.28,0.42,0.24,-0.01,0.04,0.56,0.20,0.13,0.31,0.25,0.10,N/A,0.09,-0.03,0.04
0.43,0.18,0.04,0.25,0.21,0.11,0.29,1,0.38,0.01,0.14,0.27,0.13,0.00,0.01,0.27,0.10,0.04,0.21,0.06,0.00,N/A,0.00,-0.06,0.01
0.62,0.26,0.15,0.42,0.36,0.14,0.48,0.38,1,0.11,0.23,0.45,0.21,0.01,0.04,0.57,0.09,0.03,0.31,0.18,-0.00,N/A,0.13,0.04,0.04
0.18,0.16,0.14,0.09,0.16,0.11,0.20,0.01,0.11,1,0.33,0.16,0.23,0.00,0.03,0.16,0.05,0.01,0.02,0.18,0.36,N/A,0.09,0.04,0.03
0.31,0.06,0.17,0.17,0.16,0.08,0.28,0.14,0.23,0.33,1,0.21,0.35,-0.01,-0.01,0.26,0.05,-0.05,0.09,0.14,0.36,N/A,-0.03,0.05,-0.01
0.51,0.29,0.11,0.30,0.47,0.14,0.42,0.27,0.45,0.16,0.21,1,0.21,0.00,0.01,0.42,0.17,0.07,0.19,0.27,0.01,N/A,0.15,0.02,0.01
0.30,0.18,0.13,0.12,0.25,0.07,0.24,0.13,0.21,0.23,0.35,0.21,1,0.03,0.00,0.26,0.08,0.04,0.06,0.21,0.20,N/A,0.11,0.06,0.00
0.03,0.03,0.01,-0.03,0.02,0.02,-0.01,0.00,0.01,0.00,-0.01,0.00,0.03,1,-0.01,0.02,0.71,0.08,0.01,0.06,0.00,N/A,-0.01,0.02,-0.01
0.04,0.00,0.01,-0.01,-0.01,-0.01,0.04,0.01,0.04,0.03,-0.01,0.01,0.00,-0.01,1,0.04,0.01,0.04,0.00,0.01,-0.00,N/A,0.49,0.02,1.00
0.68,0.32,0.30,0.38,0.49,0.26,0.56,0.27,0.57,0.16,0.26,0.42,0.26,0.02,0.04,1,0.16,0.11,0.25,0.26,0.07,N/A,0.13,0.02,0.04
0.24,0.07,0.07,0.07,0.15,0.14,0.20,0.10,0.09,0.05,0.05,0.17,0.08,0.71,0.01,0.16,1,0.23,0.08,0.10,0.09,N/A,0.01,-0.04,0.01
0.22,0.01,0.06,0.01,0.07,0.26,0.13,0.04,0.03,0.01,-0.05,0.07,0.04,0.08,0.04,0.11,0.23,1,0.05,0.01,-0.03,N/A,0.01,0.02,0.04
0.39,0.19,0.08,0.29,0.31,0.13,0.31,0.21,0.31,0.02,0.09,0.19,0.06,0.01,0.00,0.25,0.08,0.05,1,0.10,0.01,N/A,0.12,0.04,0.00
0.25,0.09,0.20,0.14,0.31,0.07,0.25,0.06,0.18,0.18,0.14,0.27,0.21,0.06,0.01,0.26,0.10,0.01,0.10,1,0.18,N/A,0.08,0.17,0.01
0.06,-0.00,0.40,-0.00,0.12,-0.02,0.10,0.00,-0.00,0.36,0.36,0.01,0.20,0.00,-0.00,0.07,0.09,-0.03,0.01,0.18,1,N/A,0.01,0.02,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.02,-0.01,0.05,0.02,0.04,0.09,0.00,0.13,0.09,-0.03,0.15,0.11,-0.01,0.49,0.13,0.01,0.01,0.12,0.08,0.01,N/A,1,0.02,0.49
0.11,-0.06,0.03,-0.04,0.02,-0.06,-0.03,-0.06,0.04,0.04,0.05,0.02,0.06,0.02,0.02,0.02,-0.04,0.02,0.04,0.17,0.02,N/A,0.02,1,0.02
0.04,0.00,0.01,-0.01,-0.01,-0.01,0.04,0.01,0.04,0.03,-0.01,0.01,0.00,-0.01,1.00,0.04,0.01,0.04,0.00,0.01,-0.00,N/A,0.49,0.02,1
