1,0.17,0.13,0.24,0.03,0.00,0.61,0.23,0.19,0.22,N/A,0.23,0.25,0.01,0.13,N/A,0.61,0.06,0.17,N/A,0.26,0.11,-0.01,0.09,0.13
0.17,1,0.07,0.15,0.02,-0.03,0.19,0.43,0.16,0.16,N/A,0.12,0.27,0.01,0.22,N/A,0.12,0.04,0.10,N/A,0.30,0.06,-0.00,0.09,0.06
0.13,0.07,1,0.16,0.26,0.03,0.14,0.16,0.29,0.20,N/A,0.06,0.23,0.02,0.08,N/A,0.08,0.11,0.07,N/A,0.21,0.10,0.03,0.16,0.12
0.24,0.15,0.16,1,0.12,0.04,0.22,0.17,0.19,0.27,N/A,0.30,0.49,0.17,0.29,N/A,0.14,0.08,0.11,N/A,0.52,0.03,0.02,0.17,0.26
0.03,0.02,0.26,0.12,1,0.02,0.07,0.05,0.26,0.11,N/A,0.06,0.12,0.04,0.11,N/A,0.01,0.02,0.04,N/A,0.11,0.03,0.02,0.01,0.08
0.00,-0.03,0.03,0.04,0.02,1,0.00,0.09,0.06,0.07,N/A,0.17,0.19,0.14,0.07,N/A,-0.02,-0.07,0.03,N/A,0.17,0.17,0.07,0.06,0.02
0.61,0.19,0.14,0.22,0.07,0.00,1,0.23,0.21,0.18,N/A,0.21,0.24,0.08,0.16,N/A,0.40,0.14,0.20,N/A,0.23,0.08,0.02,0.12,0.09
0.23,0.43,0.16,0.17,0.05,0.09,0.23,1,0.15,0.11,N/A,0.12,0.33,0.02,0.11,N/A,0.09,0.03,0.16,N/A,0.28,0.17,0.02,0.08,0.09
0.19,0.16,0.29,0.19,0.26,0.06,0.21,0.15,1,0.21,N/A,0.10,0.34,0.05,0.16,N/A,0.03,0.03,0.11,N/A,0.31,0.10,0.09,0.15,0.16
0.22,0.16,0.20,0.27,0.11,0.07,0.18,0.11,0.21,1,N/A,0.08,0.32,0.09,0.26,N/A,0.18,0.27,0.09,N/A,0.38,0.05,0.04,0.19,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.23,0.12,0.06,0.30,0.06,0.17,0.21,0.12,0.10,0.08,N/A,1,0.29,0.02,0.20,N/A,0.18,0.05,0.06,N/A,0.28,0.07,-0.04,0.10,0.09
0.25,0.27,0.23,0.49,0.12,0.19,0.24,0.33,0.34,0.32,N/A,0.29,1,0.19,0.43,N/A,0.12,0.08,0.23,N/A,0.83,0.17,0.09,0.20,0.22
0.01,0.01,0.02,0.17,0.04,0.14,0.08,0.02,0.05,0.09,N/A,0.02,0.19,1,0.09,N/A,0.01,0.01,0.07,N/A,0.19,0.01,0.04,0.08,0.15
0.13,0.22,0.08,0.29,0.11,0.07,0.16,0.11,0.16,0.26,N/A,0.20,0.43,0.09,1,N/A,0.13,0.11,0.09,N/A,0.51,0.06,-0.04,0.11,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.61,0.12,0.08,0.14,0.01,-0.02,0.40,0.09,0.03,0.18,N/A,0.18,0.12,0.01,0.13,N/A,1,0.09,0.09,N/A,0.16,0.05,-0.02,0.07,0.09
0.06,0.04,0.11,0.08,0.02,-0.07,0.14,0.03,0.03,0.27,N/A,0.05,0.08,0.01,0.11,N/A,0.09,1,0.01,N/A,0.09,0.06,-0.01,0.14,0.02
0.17,0.10,0.07,0.11,0.04,0.03,0.20,0.16,0.11,0.09,N/A,0.06,0.23,0.07,0.09,N/A,0.09,0.01,1,N/A,0.26,0.06,0.03,0.01,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.30,0.21,0.52,0.11,0.17,0.23,0.28,0.31,0.38,N/A,0.28,0.83,0.19,0.51,N/A,0.16,0.09,0.26,N/A,1,0.15,0.10,0.19,0.24
0.11,0.06,0.10,0.03,0.03,0.17,0.08,0.17,0.10,0.05,N/A,0.07,0.17,0.01,0.06,N/A,0.05,0.06,0.06,N/A,0.15,1,0.02,0.00,0.06
-0.01,-0.00,0.03,0.02,0.02,0.07,0.02,0.02,0.09,0.04,N/A,-0.04,0.09,0.04,-0.04,N/A,-0.02,-0.01,0.03,N/A,0.10,0.02,1,-0.01,0.10
0.09,0.09,0.16,0.17,0.01,0.06,0.12,0.08,0.15,0.19,N/A,0.10,0.20,0.08,0.11,N/A,0.07,0.14,0.01,N/A,0.19,0.00,-0.01,1,0.13
0.13,0.06,0.12,0.26,0.08,0.02,0.09,0.09,0.16,0.14,N/A,0.09,0.22,0.15,0.08,N/A,0.09,0.02,0.11,N/A,0.24,0.06,0.10,0.13,1
