1,0.07,0.02,0.02,0.07,0.04,0.08,0.05,0.08,0.09,0.11,0.04,0.15,0.08,0.14,0.11,0.12,0.07,0.05,0.04,0.13,0.06,0.13,N/A,0.05,0.03,0.04
0.07,1,0.17,0.06,0.26,0.11,0.61,0.36,0.20,0.15,0.14,0.13,0.22,0.23,0.18,0.26,0.61,0.09,0.17,0.13,0.24,0.17,0.15,N/A,0.10,0.09,0.05
0.02,0.17,1,0.07,0.18,-0.00,0.19,0.09,0.13,0.09,0.17,0.04,0.18,0.11,0.11,0.19,0.12,0.12,0.09,0.04,0.18,0.10,0.04,N/A,0.13,0.14,0.09
0.02,0.06,0.07,1,0.12,-0.01,0.14,0.02,0.20,0.13,0.09,0.02,0.23,0.24,0.21,0.17,0.12,0.10,0.13,-0.01,0.25,-0.01,0.04,N/A,0.04,0.08,0.02
0.07,0.26,0.18,0.12,1,0.01,0.23,0.16,0.21,0.18,0.25,0.05,0.21,0.33,0.23,0.20,0.20,0.42,0.32,0.06,0.19,0.19,0.16,N/A,0.36,0.39,0.09
0.04,0.11,-0.00,-0.01,0.01,1,0.14,0.06,0.07,-0.00,0.03,0.33,0.13,0.03,0.15,0.11,0.03,-0.00,0.01,0.56,0.24,0.03,0.02,N/A,-0.01,0.03,0.05
0.08,0.61,0.19,0.14,0.23,0.14,1,0.21,0.17,0.07,0.12,0.22,0.25,0.19,0.16,0.23,0.40,0.07,0.18,0.22,0.27,0.20,0.18,N/A,0.06,0.14,0.02
0.05,0.36,0.09,0.02,0.16,0.06,0.21,1,0.15,0.12,0.06,0.08,0.12,0.07,0.09,0.13,0.36,0.17,0.10,0.09,0.13,0.10,0.10,N/A,0.07,0.06,0.05
0.08,0.20,0.13,0.20,0.21,0.07,0.17,0.15,1,0.37,0.13,0.06,0.53,0.23,0.25,0.51,0.09,0.14,0.21,0.06,0.51,0.26,0.08,N/A,0.18,0.14,0.09
0.09,0.15,0.09,0.13,0.18,-0.00,0.07,0.12,0.37,1,0.13,0.04,0.31,0.20,0.13,0.29,0.12,0.12,0.17,0.05,0.25,0.12,0.12,N/A,0.10,0.07,0.02
0.11,0.14,0.17,0.09,0.25,0.03,0.12,0.06,0.13,0.13,1,0.01,0.10,0.23,0.18,0.10,0.12,0.31,0.18,0.09,0.11,0.06,0.05,N/A,0.25,0.17,0.07
0.04,0.13,0.04,0.02,0.05,0.33,0.22,0.08,0.06,0.04,0.01,1,0.11,0.10,0.14,0.09,0.03,0.07,0.04,0.18,0.19,0.07,0.04,N/A,0.01,0.01,0.03
0.15,0.22,0.18,0.23,0.21,0.13,0.25,0.12,0.53,0.31,0.10,0.11,1,0.33,0.23,0.88,0.18,0.15,0.23,0.13,0.91,0.18,0.11,N/A,0.18,0.22,0.11
0.08,0.23,0.11,0.24,0.33,0.03,0.19,0.07,0.23,0.20,0.23,0.10,0.33,1,0.32,0.38,0.18,0.34,0.28,0.07,0.33,0.09,0.16,N/A,0.14,0.17,0.03
0.14,0.18,0.11,0.21,0.23,0.15,0.16,0.09,0.25,0.13,0.18,0.14,0.23,0.32,1,0.24,0.10,0.13,0.31,0.14,0.25,0.18,0.16,N/A,0.14,0.11,0.16
0.11,0.26,0.19,0.17,0.20,0.11,0.23,0.13,0.51,0.29,0.10,0.09,0.88,0.38,0.24,1,0.18,0.12,0.20,0.12,0.91,0.18,0.10,N/A,0.14,0.24,0.12
0.12,0.61,0.12,0.12,0.20,0.03,0.40,0.36,0.09,0.12,0.12,0.03,0.18,0.18,0.10,0.18,1,0.20,0.09,0.01,0.17,0.09,0.14,N/A,0.09,0.13,-0.00
0.07,0.09,0.12,0.10,0.42,-0.00,0.07,0.17,0.14,0.12,0.31,0.07,0.15,0.34,0.13,0.12,0.20,1,0.15,0.07,0.12,0.02,0.10,N/A,0.15,0.20,-0.01
0.05,0.17,0.09,0.13,0.32,0.01,0.18,0.10,0.21,0.17,0.18,0.04,0.23,0.28,0.31,0.20,0.09,0.15,1,0.05,0.20,0.08,0.05,N/A,0.19,0.25,0.12
