1,N/A,0.73,0.51,0.43,0.34,0.84,0.36,0.53,0.33,0.83,0.24,0.28,N/A,0.21,0.31,0.07,0.42,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.73,N/A,1,0.47,0.49,0.35,0.73,0.30,0.57,0.32,0.66,0.21,0.29,N/A,0.19,0.32,0.08,0.49,0.39
0.51,N/A,0.47,1,0.29,0.13,0.51,0.31,0.36,0.25,0.52,0.20,0.10,N/A,0.11,0.11,0.07,0.31,0.18
0.43,N/A,0.49,0.29,1,0.23,0.42,0.13,0.62,0.19,0.39,0.09,0.26,N/A,0.17,0.24,0.05,0.51,0.28
0.34,N/A,0.35,0.13,0.23,1,0.32,0.10,0.22,0.22,0.27,0.02,0.35,N/A,0.23,0.17,0.01,0.22,0.18
0.84,N/A,0.73,0.51,0.42,0.32,1,0.31,0.55,0.35,0.76,0.19,0.29,N/A,0.15,0.31,0.06,0.43,0.28
0.36,N/A,0.30,0.31,0.13,0.10,0.31,1,0.14,0.21,0.36,0.23,0.06,N/A,0.02,0.08,0.15,0.20,0.05
0.53,N/A,0.57,0.36,0.62,0.22,0.55,0.14,1,0.27,0.47,0.11,0.27,N/A,0.17,0.31,0.03,0.50,0.36
0.33,N/A,0.32,0.25,0.19,0.22,0.35,0.21,0.27,1,0.34,0.09,0.22,N/A,0.09,0.08,-0.03,0.40,0.20
0.83,N/A,0.66,0.52,0.39,0.27,0.76,0.36,0.47,0.34,1,0.25,0.22,N/A,0.13,0.23,0.08,0.38,0.26
0.24,N/A,0.21,0.20,0.09,0.02,0.19,0.23,0.11,0.09,0.25,1,0.02,N/A,-0.03,0.09,0.03,0.10,0.06
0.28,N/A,0.29,0.10,0.26,0.35,0.29,0.06,0.27,0.22,0.22,0.02,1,N/A,0.16,0.13,0.02,0.22,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,N/A,0.19,0.11,0.17,0.23,0.15,0.02,0.17,0.09,0.13,-0.03,0.16,N/A,1,0.21,0.01,0.12,0.16
0.31,N/A,0.32,0.11,0.24,0.17,0.31,0.08,0.31,0.08,0.23,0.09,0.13,N/A,0.21,1,0.01,0.27,0.10
0.07,N/A,0.08,0.07,0.05,0.01,0.06,0.15,0.03,-0.03,0.08,0.03,0.02,N/A,0.01,0.01,1,0.04,-0.02
0.42,N/A,0.49,0.31,0.51,0.22,0.43,0.20,0.50,0.40,0.38,0.10,0.22,N/A,0.12,0.27,0.04,1,0.26
0.27,N/A,0.39,0.18,0.28,0.18,0.28,0.05,0.36,0.20,0.26,0.06,0.18,N/A,0.16,0.10,-0.02,0.26,1
