1,-0.01,-0.00,0.05,0.06,N/A,0.04,0.08,0.15,-0.04,0.13,0.02,0.03
-0.01,1,0.14,0.30,0.30,N/A,0.13,0.26,0.28,0.04,0.28,0.09,0.14
-0.00,0.14,1,0.03,0.23,N/A,0.13,0.08,0.09,0.55,0.15,0.04,0.13
0.05,0.30,0.03,1,0.40,N/A,0.31,0.32,0.32,0.01,0.53,0.16,0.19
0.06,0.30,0.23,0.40,1,N/A,0.28,0.50,0.32,0.10,0.51,0.21,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.13,0.13,0.31,0.28,N/A,1,0.20,0.19,0.15,0.34,0.07,0.22
0.08,0.26,0.08,0.32,0.50,N/A,0.20,1,0.30,-0.01,0.37,0.14,0.19
0.15,0.28,0.09,0.32,0.32,N/A,0.19,0.30,1,0.09,0.49,0.15,0.16
-0.04,0.04,0.55,0.01,0.10,N/A,0.15,-0.01,0.09,1,0.09,0.05,0.05
0.13,0.28,0.15,0.53,0.51,N/A,0.34,0.37,0.49,0.09,1,0.21,0.24
0.02,0.09,0.04,0.16,0.21,N/A,0.07,0.14,0.15,0.05,0.21,1,0.10
0.03,0.14,0.13,0.19,0.42,N/A,0.22,0.19,0.16,0.05,0.24,0.10,1
