1,0.13,0.08,0.37,0.12,0.30,0.45,0.45,0.35,0.52,0.21,0.36,0.21,0.61
0.13,1,0.23,0.27,0.20,0.19,0.06,0.15,0.11,0.20,0.30,0.07,0.27,0.05
0.08,0.23,1,0.24,0.26,0.28,0.12,0.04,0.12,0.13,0.19,0.04,0.25,0.01
0.37,0.27,0.24,1,0.41,0.73,0.22,0.28,0.45,0.35,0.51,0.32,0.56,0.22
0.12,0.20,0.26,0.41,1,0.47,0.03,0.09,0.25,0.16,0.18,0.12,0.28,0.10
0.30,0.19,0.28,0.73,0.47,1,0.23,0.18,0.36,0.30,0.37,0.23,0.56,0.22
0.45,0.06,0.12,0.22,0.03,0.23,1,0.24,0.16,0.33,0.13,0.12,0.23,0.27
0.45,0.15,0.04,0.28,0.09,0.18,0.24,1,0.26,0.29,0.25,0.25,0.24,0.39
0.35,0.11,0.12,0.45,0.25,0.36,0.16,0.26,1,0.22,0.27,0.83,0.25,0.33
0.52,0.20,0.13,0.35,0.16,0.30,0.33,0.29,0.22,1,0.17,0.20,0.23,0.43
0.21,0.30,0.19,0.51,0.18,0.37,0.13,0.25,0.27,0.17,1,0.20,0.43,0.09
0.36,0.07,0.04,0.32,0.12,0.23,0.12,0.25,0.83,0.20,0.20,1,0.13,0.36
0.21,0.27,0.25,0.56,0.28,0.56,0.23,0.24,0.25,0.23,0.43,0.13,1,0.10
0.61,0.05,0.01,0.22,0.10,0.22,0.27,0.39,0.33,0.43,0.09,0.36,0.10,1
