1,0.36,0.57,0.40,0.07,0.13,0.09,0.12,0.16,0.14,-0.01,0.12,0.04,0.14,0.24,0.10,0.33,0.28,0.18,0.15,0.23,0.16
0.36,1,0.24,0.20,0.15,0.01,0.12,0.01,0.07,0.22,0.05,0.09,0.00,0.06,0.09,0.01,0.10,0.31,0.12,0.09,0.13,0.15
0.57,0.24,1,0.25,0.04,0.05,0.08,-0.01,0.06,0.03,-0.03,0.08,0.04,0.02,0.12,0.10,0.34,0.32,0.14,0.13,0.24,0.12
0.40,0.20,0.25,1,0.16,0.02,0.03,0.59,0.07,0.18,0.01,0.08,0.02,0.08,0.17,0.09,0.17,0.14,0.07,0.27,0.13,0.01
0.07,0.15,0.04,0.16,1,0.02,0.03,-0.01,0.28,0.14,0.11,0.09,0.02,-0.02,0.05,0.03,0.06,0.08,0.10,0.06,0.07,0.00
0.13,0.01,0.05,0.02,0.02,1,-0.02,0.01,0.11,-0.09,0.04,0.04,0.06,-0.02,0.14,0.01,0.00,0.01,0.10,-0.02,0.06,0.01
0.09,0.12,0.08,0.03,0.03,-0.02,1,0.04,0.02,0.10,0.02,0.16,0.01,0.05,0.02,0.04,0.07,0.14,0.08,0.04,0.26,0.16
0.12,0.01,-0.01,0.59,-0.01,0.01,0.04,1,-0.05,0.04,0.03,0.06,0.02,0.01,0.02,0.04,0.02,0.05,-0.04,0.17,0.06,0.02
0.16,0.07,0.06,0.07,0.28,0.11,0.02,-0.05,1,-0.04,-0.02,0.12,0.01,0.04,0.22,0.04,0.02,0.03,0.05,-0.00,0.04,0.07
0.14,0.22,0.03,0.18,0.14,-0.09,0.10,0.04,-0.04,1,-0.03,0.01,-0.02,0.00,0.02,0.01,0.10,0.06,0.05,0.00,0.12,0.07
-0.01,0.05,-0.03,0.01,0.11,0.04,0.02,0.03,-0.02,-0.03,1,0.05,-0.03,-0.03,-0.02,-0.03,0.08,0.13,-0.01,0.00,-0.09,0.01
0.12,0.09,0.08,0.08,0.09,0.04,0.16,0.06,0.12,0.01,0.05,1,0.02,0.19,0.18,0.07,0.23,0.08,0.24,0.13,0.15,0.07
0.04,0.00,0.04,0.02,0.02,0.06,0.01,0.02,0.01,-0.02,-0.03,0.02,1,-0.01,0.05,0.01,0.16,0.04,0.18,0.03,0.03,0.02
0.14,0.06,0.02,0.08,-0.02,-0.02,0.05,0.01,0.04,0.00,-0.03,0.19,-0.01,1,0.05,-0.01,-0.00,0.05,0.05,0.03,0.21,0.03
0.24,0.09,0.12,0.17,0.05,0.14,0.02,0.02,0.22,0.02,-0.02,0.18,0.05,0.05,1,0.06,0.16,0.05,0.21,0.07,0.08,0.27
0.10,0.01,0.10,0.09,0.03,0.01,0.04,0.04,0.04,0.01,-0.03,0.07,0.01,-0.01,0.06,1,0.07,0.05,0.10,0.02,0.09,-0.01
0.33,0.10,0.34,0.17,0.06,0.00,0.07,0.02,0.02,0.10,0.08,0.23,0.16,-0.00,0.16,0.07,1,0.09,0.18,0.09,0.22,0.09
0.28,0.31,0.32,0.14,0.08,0.01,0.14,0.05,0.03,0.06,0.13,0.08,0.04,0.05,0.05,0.05,0.09,1,0.13,0.11,0.19,0.04
0.18,0.12,0.14,0.07,0.10,0.10,0.08,-0.04,0.05,0.05,-0.01,0.24,0.18,0.05,0.21,0.10,0.18,0.13,1,0.21,0.19,0.13
0.15,0.09,0.13,0.27,0.06,-0.02,0.04,0.17,-0.00,0.00,0.00,0.13,0.03,0.03,0.07,0.02,0.09,0.11,0.21,1,0.00,0.11
0.23,0.13,0.24,0.13,0.07,0.06,0.26,0.06,0.04,0.12,-0.09,0.15,0.03,0.21,0.08,0.09,0.22,0.19,0.19,0.00,1,0.08
0.16,0.15,0.12,0.01,0.00,0.01,0.16,0.02,0.07,0.07,0.01,0.07,0.02,0.03,0.27,-0.01,0.09,0.04,0.13,0.11,0.08,1
