1,0.07,0.23,0.22,0.17,0.14,0.18,0.13,0.09,0.13,0.15,0.32,0.12
0.07,1,0.20,0.13,0.15,0.01,0.24,0.33,0.04,0.24,0.33,0.15,0.32
0.23,0.20,1,0.19,0.25,0.10,0.30,0.25,0.12,0.26,0.18,0.30,0.31
0.22,0.13,0.19,1,0.27,0.04,0.14,0.13,0.06,0.13,0.16,0.22,0.21
0.17,0.15,0.25,0.27,1,0.13,0.19,0.23,0.14,0.16,0.09,0.26,0.22
0.14,0.01,0.10,0.04,0.13,1,0.18,0.19,0.11,0.11,0.08,0.09,0.06
0.18,0.24,0.30,0.14,0.19,0.18,1,0.34,0.26,0.36,0.21,0.33,0.24
0.13,0.33,0.25,0.13,0.23,0.19,0.34,1,0.19,0.20,0.10,0.29,0.34
0.09,0.04,0.12,0.06,0.14,0.11,0.26,0.19,1,0.18,0.15,0.29,0.12
0.13,0.24,0.26,0.13,0.16,0.11,0.36,0.20,0.18,1,0.33,0.19,0.15
0.15,0.33,0.18,0.16,0.09,0.08,0.21,0.10,0.15,0.33,1,0.11,0.30
0.32,0.15,0.30,0.22,0.26,0.09,0.33,0.29,0.29,0.19,0.11,1,0.30
0.12,0.32,0.31,0.21,0.22,0.06,0.24,0.34,0.12,0.15,0.30,0.30,1
