1,0.20,0.14,-0.01,0.02,0.04,0.42,0.03,0.07,N/A,0.16,0.02,0.03,0.11,0.03,0.27,0.34,0.01,0.00
0.20,1,0.33,-0.01,0.07,0.27,0.18,0.24,0.26,N/A,0.19,0.24,0.21,0.51,0.16,0.15,0.57,0.16,0.04
0.14,0.33,1,-0.01,0.11,0.20,0.14,0.02,0.15,N/A,0.16,0.10,0.08,0.34,0.21,0.17,0.34,0.09,0.08
-0.01,-0.01,-0.01,1,0.09,0.00,0.04,-0.01,0.02,N/A,0.04,0.04,-0.03,0.00,0.00,0.03,-0.06,0.06,0.01
0.02,0.07,0.11,0.09,1,0.07,0.21,-0.04,0.11,N/A,0.02,0.13,0.12,-0.02,0.04,-0.01,0.10,0.08,-0.04
0.04,0.27,0.20,0.00,0.07,1,0.10,0.07,0.27,N/A,0.35,0.45,0.22,0.28,0.45,0.05,0.16,0.13,0.04
0.42,0.18,0.14,0.04,0.21,0.10,1,0.06,0.15,N/A,0.16,0.16,0.07,0.17,0.08,0.15,0.33,0.14,0.00
0.03,0.24,0.02,-0.01,-0.04,0.07,0.06,1,0.05,N/A,-0.02,0.15,0.01,0.14,0.06,0.02,0.32,0.05,-0.01
0.07,0.26,0.15,0.02,0.11,0.27,0.15,0.05,1,N/A,0.34,0.32,0.16,0.15,0.18,0.07,0.27,0.22,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,0.19,0.16,0.04,0.02,0.35,0.16,-0.02,0.34,N/A,1,0.27,0.17,0.20,0.25,0.13,0.19,0.17,0.02
0.02,0.24,0.10,0.04,0.13,0.45,0.16,0.15,0.32,N/A,0.27,1,0.23,0.25,0.47,0.06,0.13,0.18,0.04
0.03,0.21,0.08,-0.03,0.12,0.22,0.07,0.01,0.16,N/A,0.17,0.23,1,0.10,0.28,0.01,0.10,0.12,0.02
0.11,0.51,0.34,0.00,-0.02,0.28,0.17,0.14,0.15,N/A,0.20,0.25,0.10,1,0.17,0.07,0.41,0.06,0.00
0.03,0.16,0.21,0.00,0.04,0.45,0.08,0.06,0.18,N/A,0.25,0.47,0.28,0.17,1,0.04,0.09,0.16,0.02
0.27,0.15,0.17,0.03,-0.01,0.05,0.15,0.02,0.07,N/A,0.13,0.06,0.01,0.07,0.04,1,0.27,0.07,0.03
0.34,0.57,0.34,-0.06,0.10,0.16,0.33,0.32,0.27,N/A,0.19,0.13,0.10,0.41,0.09,0.27,1,0.12,0.02
0.01,0.16,0.09,0.06,0.08,0.13,0.14,0.05,0.22,N/A,0.17,0.18,0.12,0.06,0.16,0.07,0.12,1,0.01
0.00,0.04,0.08,0.01,-0.04,0.04,0.00,-0.01,0.01,N/A,0.02,0.04,0.02,0.00,0.02,0.03,0.02,0.01,1
