1,0.07,0.13,0.01,0.11,0.01,0.03,0.20,0.04,0.07,0.06,0.07,0.23,0.05
0.07,1,0.18,0.06,0.24,0.03,0.06,0.25,0.34,0.16,0.23,0.28,0.31,0.21
0.13,0.18,1,0.11,0.47,0.07,0.13,0.40,0.36,0.26,0.33,0.21,0.59,0.12
0.01,0.06,0.11,1,0.07,0.01,0.03,0.10,0.16,0.02,0.03,0.02,0.15,0.01
0.11,0.24,0.47,0.07,1,0.05,0.21,0.32,0.39,0.15,0.28,0.17,0.41,0.11
0.01,0.03,0.07,0.01,0.05,1,0.02,0.07,0.09,0.21,0.06,0.05,0.12,0.01
0.03,0.06,0.13,0.03,0.21,0.02,1,0.08,0.11,-0.03,0.11,0.10,0.17,0.03
0.20,0.25,0.40,0.10,0.32,0.07,0.08,1,0.30,0.39,0.20,0.15,0.61,0.19
0.04,0.34,0.36,0.16,0.39,0.09,0.11,0.30,1,0.21,0.44,0.25,0.40,0.22
0.07,0.16,0.26,0.02,0.15,0.21,-0.03,0.39,0.21,1,0.09,0.15,0.50,0.10
0.06,0.23,0.33,0.03,0.28,0.06,0.11,0.20,0.44,0.09,1,0.09,0.30,0.07
0.07,0.28,0.21,0.02,0.17,0.05,0.10,0.15,0.25,0.15,0.09,1,0.30,0.10
0.23,0.31,0.59,0.15,0.41,0.12,0.17,0.61,0.40,0.50,0.30,0.30,1,0.22
0.05,0.21,0.12,0.01,0.11,0.01,0.03,0.19,0.22,0.10,0.07,0.10,0.22,1
